year,stock,capture,taxa,effort
1951,Anodontostoma chacunda,0.001,Anodontostoma chacunda,165533366.6
1951,Ariidae,5000,Ariidae,165533366.6
1951,Caranx spp,4200,Caranx spp,165533366.6
1951,Carcharhinus falciformis,0.001,Carcharhinus falciformis,165533366.6
1951,Cephalopoda,0.001,Cephalopoda,165533366.6
1951,Clupeoidei,0.001,Clupeoidei,165533366.6
1951,Clupeoidei,30000,Clupeoidei,165533366.6
1951,Decapterus russelli,4500,Decapterus russelli,165533366.6
1951,Decapterus spp,700,Decapterus spp,165533366.6
1951,Leiognathidae,7300,Leiognathidae,165533366.6
1951,Loliginidae Ommastrephidae,0.001,Loliginidae Ommastrephidae,165533366.6
1951,Loligo spp,300,Loligo spp,165533366.6
1951,Megalaspis cordyla,1800,Megalaspis cordyla,165533366.6
1951,Mugilidae,3400,Mugilidae,165533366.6
1951,Natantia,20000,Natantia,165533366.6
1951,Nemipterus spp,400,Nemipterus spp,165533366.6
1951,Octopodidae,0.001,Octopodidae,165533366.6
1951,Pellona ditchela,0.001,Pellona ditchela,165533366.6
1951,Penaeus merguiensis,1830,Penaeus merguiensis,165533366.6
1951,Penaeus spp,500,Penaeus spp,165533366.6
1951,Percoidei,2200,Percoidei,165533366.6
1951,Rajiformes,1300,Rajiformes,165533366.6
1951,Rastrelliger spp,13100,Rastrelliger spp,165533366.6
1951,Sardinella spp,0.001,Sardinella spp,165533366.6
1951,Scomberomorus spp,100,Scomberomorus spp,165533366.6
1951,Scombroidei,0.001,Scombroidei,165533366.6
1951,Sepiidae Sepiolidae,600,Sepiidae Sepiolidae,165533366.6
1951,Sergestidae,0.001,Sergestidae,165533366.6
1951,Stolephorus spp,10000,Stolephorus spp,165533366.6
1951,Stromateidae,5000,Stromateidae,165533366.6
1951,Tenualosa toli,0.001,Tenualosa toli,165533366.6
1951,Thyrsites atun,3000,Thyrsites atun,165533366.6
1951,Trichiuridae,25400,Trichiuridae,165533366.6
1951,Trichiurus lepturus,200,Trichiurus lepturus,165533366.6
1952,Anodontostoma chacunda,0.001,Anodontostoma chacunda,162564880.2
1952,Ariidae,5800,Ariidae,162564880.2
1952,Caranx spp,4400,Caranx spp,162564880.2
1952,Carcharhinus falciformis,0.001,Carcharhinus falciformis,162564880.2
1952,Cephalopoda,0.001,Cephalopoda,162564880.2
1952,Clupeoidei,21400,Clupeoidei,162564880.2
1952,Clupeoidei,0.001,Clupeoidei,162564880.2
1952,Decapterus russelli,3600,Decapterus russelli,162564880.2
1952,Decapterus spp,800,Decapterus spp,162564880.2
1952,Leiognathidae,7300,Leiognathidae,162564880.2
1952,Loliginidae Ommastrephidae,0.001,Loliginidae Ommastrephidae,162564880.2
1952,Loligo spp,300,Loligo spp,162564880.2
1952,Megalaspis cordyla,2200,Megalaspis cordyla,162564880.2
1952,Mugilidae,2100,Mugilidae,162564880.2
1952,Natantia,19800,Natantia,162564880.2
1952,Nemipterus spp,400,Nemipterus spp,162564880.2
1952,Octopodidae,0.001,Octopodidae,162564880.2
1952,Pellona ditchela,0.001,Pellona ditchela,162564880.2
1952,Penaeus merguiensis,2000,Penaeus merguiensis,162564880.2
1952,Penaeus spp,500,Penaeus spp,162564880.2
1952,Percoidei,2200,Percoidei,162564880.2
1952,Rajiformes,1300,Rajiformes,162564880.2
