stock,taxa,variable,year,mean,sd,lower,upper,status
Anodontostoma chacunda,Anodontostoma chacunda,b_div_bmsy,2019,0.850229386599505,0.240827334892545,0.574547292055625,1.25319800678673,Fully fished
Ariidae,Ariidae,b_div_bmsy,2019,1.08325201189311,0.209550148892694,0.76597944229002,1.50216846324829,Fully fished
Caranx spp,Caranx spp,b_div_bmsy,2019,0.901252096449915,0.227240954692894,0.625628358547823,1.2906999181145,Fully fished
Carcharhinus falciformis,Carcharhinus falciformis,b_div_bmsy,2019,0.848449649236646,0.236665138442484,0.583008187152749,1.23671089913387,Fully fished
Cephalopoda,Cephalopoda,b_div_bmsy,2019,0.859785339854505,0.247997426451288,0.581682891177108,1.26331319235689,Fully fished
Clupeoidei,Clupeoidei,b_div_bmsy,2088,1.12234793755888,0.254558230529394,0.64103010310156,1.58393883537517,Fully fished
Decapterus russelli,Decapterus russelli,b_div_bmsy,2019,0.997021776492653,0.21775389285502,0.700634672535426,1.40909044938623,Fully fished
Decapterus spp,Decapterus spp,b_div_bmsy,2019,0.952068198646902,0.228464915227384,0.660799912610921,1.36269230064056,Fully fished
Leiognathidae,Leiognathidae,b_div_bmsy,2019,0.995599325390695,0.20725363518734,0.711808598846012,1.36156430279797,Fully fished
Loliginidae Ommastrephidae,Loliginidae Ommastrephidae,b_div_bmsy,2019,0.870606743329914,0.239582326152006,0.593085882489793,1.25057300389944,Fully fished
Loligo spp,Loligo spp,b_div_bmsy,2019,0.936290332686721,0.23088020055325,0.647780358776934,1.34249326721251,Fully fished
Megalaspis cordyla,Megalaspis cordyla,b_div_bmsy,2019,1.00255998659951,0.222510715459973,0.692050552610322,1.43642311235163,Fully fished
Mugilidae,Mugilidae,b_div_bmsy,2019,1.04991680304398,0.212927188944452,0.733696292860258,1.47048258822479,Fully fished
Natantia,Natantia,b_div_bmsy,2019,0.878663937637242,0.213714663591533,0.618726062781785,1.22754893379893,Fully fished
Nemipterus spp,Nemipterus spp,b_div_bmsy,2019,0.957688677596948,0.231909045446186,0.657898335984472,1.39224242997095,Fully fished
Octopodidae,Octopodidae,b_div_bmsy,2019,0.854234098028314,0.24886086861143,0.570027893621341,1.25938526784543,Fully fished
Pellona ditchela,Pellona ditchela,b_div_bmsy,2019,0.607050699913641,0.0246502108291527,0.585081367776527,0.628690699157637,Overfished
Penaeus merguiensis,Penaeus merguiensis,b_div_bmsy,2019,1.05087566823,0.211099210468608,0.753257656733004,1.46147064516627,Fully fished
Penaeus spp,Penaeus spp,b_div_bmsy,2019,0.897443040027491,0.221607211934078,0.617659746249396,1.26860490939531,Fully fished
Percoidei,Percoidei,b_div_bmsy,2019,0.690403996893598,0.277423061492808,0.445138367866206,1.03824383951302,Overfished
Rajiformes,Rajiformes,b_div_bmsy,2019,0.876040131453925,0.21275474366428,0.62107774493682,1.2179959611226,Fully fished
Rastrelliger spp,Rastrelliger spp,b_div_bmsy,2019,1.17751342541555,0.199302335587172,0.851173077930602,1.61737737734626,Fully fished
Sardinella spp,Sardinella spp,b_div_bmsy,2019,0.856406299608747,0.237658683868046,0.590200425430167,1.24729803733186,Fully fished
Scomberomorus spp,Scomberomorus spp,b_div_bmsy,2019,0.844992317587812,0.233754726696011,0.583840916821961,1.22067790556409,Fully fished
Scombroidei,Scombroidei,b_div_bmsy,2019,0.865422444016511,0.238085557245085,0.594761514572394,1.24658000907738,Fully fished
Sepiidae Sepiolidae,Sepiidae Sepiolidae,b_div_bmsy,2019,0.978988966941269,0.225323738048566,0.677044262691162,1.41631533136545,Fully fished
Sergestidae,Sergestidae,b_div_bmsy,2019,0.861674751884266,0.23793817976129,0.588562667759567,1.27656682555596,Fully fished
Stolephorus spp,Stolephorus spp,b_div_bmsy,2019,0.94134886001106,0.222616080533174,0.654921282417167,1.33061406543609,Fully fished
Stromateidae,Stromateidae,b_div_bmsy,2019,0.943349924726035,0.222212260710012,0.658530481762821,1.33301818193527,Fully fished
Tenualosa toli,Tenualosa toli,b_div_bmsy,2019,0.872092189621848,0.246227069475168,0.577565660944502,1.2755070200573,Fully fished
Thyrsites atun,Thyrsites atun,b_div_bmsy,2019,0.690533074836229,0.233057073912254,0.472521180053745,0.993285399105803,Overfished
Trichiuridae,Trichiuridae,b_div_bmsy,2019,0.841865606298865,0.219559250930161,0.581343977353422,1.18664418016645,Fully fished
Trichiurus lepturus,Trichiurus lepturus,b_div_bmsy,2019,0.984348190484829,0.219493398194462,0.694209700526629,1.38615361994257,Fully fished
