variable,year,mean,sd,lower,upper
b_t,1951,1083213.55553885,521356.63531778,523935.566849871,2054703.45360398
b_t,1952,1097266.59734899,557972.11454833,501369.777364028,2141151.69851556
b_t,1953,1130768.07992292,576287.576920311,509322.64693144,2183257.08900283
b_t,1954,1088649.67226726,558392.218321302,485219.286542619,2149462.05377843
b_t,1955,1092793.31477543,568370.298312388,484388.94852402,2164154.68438961
b_t,1956,1146400.64490638,582650.721490929,523529.909699974,2259516.99552649
b_t,1957,1078005.31994827,549756.489284187,486530.578441183,2071772.69344286
b_t,1958,1083613.82855548,574694.958230779,487692.236597946,2089843.13166529
b_t,1959,812985.130696584,437038.542335224,367752.666477454,1598910.97759655
b_t,1960,768144.075462063,408328.060834564,342914.974963045,1484989.15137924
b_t,1961,604494.268699538,317836.277383949,268594.408921511,1190601.09087318
b_t,1962,587889.591396859,309988.201598086,264623.508083859,1143537.84452725
b_t,1963,631796.493802008,331398.822044928,283413.643239522,1272039.33422646
b_t,1964,815203.055713799,418180.483796692,365989.52463195,1574230.63180702
b_t,1965,729527.203662085,369902.994265757,326570.377444443,1433421.85883908
b_t,1966,615003.228551709,321175.042517805,276530.634119727,1232666.22846205
b_t,1967,550132.903154976,287506.502026573,251285.629340502,1057307.06112476
b_t,1968,519404.032805549,270528.671637391,233342.570412902,1006381.71907353
b_t,1969,597246.136530382,309090.428068127,270464.079367618,1166566.1719365
b_t,1970,905076.846772576,465996.580981417,404394.218720461,1782024.31556399
b_t,1971,1012770.22923678,514877.033578431,466116.859285295,1955366.32408547
b_t,1972,1271799.89021929,652423.976759188,576143.61775556,2502496.89916951
b_t,1973,1703813.02631144,870157.55599859,782484.06327925,3261799.50129957
b_t,1974,1731092.34168656,881257.690675729,795868.933147604,3316090.18403689
b_t,1975,1740758.29730793,863830.909370533,809885.477518112,3313892.07993684
b_t,1976,1496883.24077266,770072.699849763,679788.325070193,2815114.36955345
b_t,1977,1240602.09531478,632376.096030577,559069.640416167,2398613.5578935
b_t,1978,962690.433566901,489047.938684749,448510.537391232,1872896.02337887
b_t,1979,980890.100692307,497835.17634574,455853.414051001,1937093.84295706
b_t,1980,1206005.64786848,632271.405261353,556237.006442348,2360713.93284247
b_t,1981,1222938.86182939,628317.939936564,553764.701154137,2383450.09631861
b_t,1982,1193815.79607617,620215.001977823,553552.284108668,2316980.22455145
b_t,1983,1247090.32432126,626805.913286194,562066.764421175,2400462.6031253
b_t,1984,1460250.15088426,745135.398375903,660180.833954392,2799035.2352501
b_t,1985,1264411.02357604,660447.622761469,570171.144409734,2453620.61065046
b_t,1986,1199761.15368331,615584.256444282,544206.219553938,2332073.57001961
b_t,1987,1306750.32735946,668477.127929549,590747.468909068,2533235.71201891
b_t,1988,1115942.31716028,552350.820268294,510331.590799005,2142689.45350758
b_t,1989,1372621.14602481,677168.547802042,636946.145777978,2615095.09462027
b_t,1990,1437496.0994652,728242.707713611,652872.779895329,2797873.37124084
b_t,1991,1375616.84057323,697688.462817808,635312.781325738,2687994.73253382
b_t,1992,1642227.34721504,820689.454916165,768747.840653036,3222926.32785717
b_t,1993,1810853.80509797,929853.573547444,832075.04537917,3547133.87142385
b_t,1994,1570249.54419053,797482.469994654,721377.706611459,3108955.25518013
b_t,1995,1416288.28146298,716760.67304873,651274.072894197,2687405.32501585
b_t,1996,1429559.81204764,715578.418767935,648559.699592806,2763423.52293122
b_t,1997,1342238.13704243,689428.635459966,618229.996132309,2659951.75307262
b_t,1998,1205201.63071397,621481.495897167,553070.252774088,2324837.86905943
b_t,1999,1257825.74002371,644688.021510784,584113.463283653,2501062.36682971
b_t,2000,1127010.6260551,576997.460123625,526061.506778431,2178423.94854235
b_t,2001,1107016.1969647,559455.926489728,518791.156929975,2117216.20697829
b_t,2002,1033675.1440013,542950.410022623,471322.268273098,2019593.09063573
b_t,2003,863800.805885837,426667.95960571,405016.158506888,1677983.575852
b_t,2004,887583.373740652,455084.23867333,407528.892125938,1726692.88277903
b_t,2005,866860.989840086,427365.16681433,419708.773446548,1670039.40839563
b_t,2006,1107695.586325,569211.227611711,515912.478325454,2165367.73709512
b_t,2007,1283329.46544814,642327.380921571,595517.182746105,2514317.88727849
b_t,2008,1443661.38815248,718269.443309397,674585.696436419,2802667.01827572
b_t,2009,1345540.45206557,681728.148548669,618953.80671965,2642443.84002097
b_t,2010,1297291.42834444,661066.313712233,592892.000359482,2574831.64489949
b_t,2011,1243672.03075361,633719.184801723,573458.560972171,2353920.59870772
b_t,2012,1209545.41450349,609169.765680257,549027.668683948,2335936.11233495
