variable,year,mean,sd,lower,upper
b_t,1951,664007.841644377,306193.616913584,338646.772045468,1196376.69403955
b_t,1952,632857.576260458,328603.04936791,287844.330576218,1212925.15863979
b_t,1953,526258.731997599,284004.133965933,239582.477390845,1020063.04313318
b_t,1954,499408.8411504,270423.315125264,223930.844350249,929423.19535636
b_t,1955,522519.533758338,276752.874609883,235048.349699763,1042083.3083704
b_t,1956,532767.826426397,274815.426355855,236750.189853431,1022979.45504855
b_t,1957,484371.322353959,269618.623779409,217603.447275579,905717.408966441
b_t,1958,507373.345502999,265794.311382094,223845.348345355,969875.759802442
b_t,1959,482616.956749224,254704.586784262,211635.012087484,936921.144680881
b_t,1960,510042.450862664,274072.861622838,227633.553207498,979090.804046814
b_t,1961,568239.886723125,308019.055122656,258179.372439965,1091538.88922178
b_t,1962,503758.862343674,268082.563679271,224008.914053163,971172.871403157
b_t,1963,526410.278370768,276325.638070322,240023.185034979,1002166.52553027
b_t,1964,494072.197845418,256958.729303149,223989.757272577,943690.298466584
b_t,1965,403001.196057257,214050.499367682,179131.37961669,801775.907879281
b_t,1966,343970.926300173,179203.728818345,157512.879600296,661627.48686205
b_t,1967,237067.074940816,121770.030487268,107837.446221991,451954.095743752
b_t,1968,176797.11287208,94364.4353738971,80347.808261398,336227.796481944
b_t,1969,180450.370822721,94009.9601567479,79492.4763496773,349548.599617212
b_t,1970,213891.329593654,114401.497596351,96251.7831151581,412585.487880973
b_t,1971,250597.585615163,132529.927487717,115780.867688171,468721.978665219
b_t,1972,343916.793453888,183069.689529174,154873.407893271,657217.591770694
b_t,1973,419513.448289505,223751.506985151,189969.858346751,817091.648473049
b_t,1974,482382.091447594,256517.693365208,217521.266063363,933785.345210174
b_t,1975,490508.198181895,260337.683155573,218480.290702506,942397.733517182
b_t,1976,568264.523645952,299983.848953805,251603.017482133,1089079.06041511
b_t,1977,609116.685904612,327203.748273007,274290.772336188,1152209.0390158
b_t,1978,475909.729800353,245519.124956094,212391.581017575,919788.35415428
b_t,1979,404721.95237315,207554.101698949,185524.972126434,791454.244450664
b_t,1980,443837.945763138,240327.635309201,198916.325277502,829183.142209674
b_t,1981,527668.951490087,278314.622008543,234939.046081995,1010170.32602828
b_t,1982,650784.64206566,338174.343552183,303854.797500619,1241025.75923364
b_t,1983,790878.989899124,413265.529338501,365575.792712313,1495098.68614
b_t,1984,920544.781464963,485907.360844795,400544.344162676,1783810.86627351
b_t,1985,557308.938993192,281762.332108858,256650.144510787,1052130.89599776
b_t,1986,461102.628884478,236354.437764958,214858.008834798,893274.585196555
b_t,1987,831430.379995649,449092.982281803,378092.107973514,1613371.7444133
b_t,1988,788097.397205796,418262.117769651,357850.974314578,1508656.22496303
b_t,1989,962225.172199168,501545.634829325,437232.644892225,1770897.93207235
b_t,1990,995726.495616217,516417.246180711,460333.639223675,1885216.48194821
b_t,1991,717689.210491088,369935.946317955,327111.695068619,1324179.58000463
b_t,1992,599300.420928522,313206.606577217,274537.599030584,1161652.78697475
b_t,1993,653181.216234313,342977.614214802,300327.178616613,1299915.95496199
b_t,1994,917146.11771475,467227.531425968,422753.70323692,1746500.56909346
b_t,1995,839972.374264707,445771.244651373,382072.112961393,1611866.94515505
b_t,1996,894415.52730287,480010.191894064,405698.327114392,1685878.07480032
b_t,1997,780307.667785395,431889.039205377,358850.510711588,1479581.63418326
b_t,1998,735411.22018833,378363.515209805,338349.148116534,1443901.27835686
b_t,1999,658519.25418496,338793.095895088,299848.570473826,1245753.05440187
b_t,2000,547044.048188418,283695.314970846,255463.627287277,1062565.20428392
b_t,2001,578332.540862091,300193.54030568,266883.990231794,1112697.2165196
b_t,2002,744470.053540212,385524.09433997,341102.286456908,1387946.32556836
b_t,2003,723001.711812612,379686.959094573,339160.559835799,1383862.68453029
b_t,2004,772038.222616858,395164.400595713,350648.116850892,1490612.39491006
b_t,2005,731316.038942314,379086.704448295,342025.062213054,1393977.65783787
b_t,2006,879560.052313831,460846.760919838,400331.362198524,1690725.22006349
b_t,2007,847697.679019511,468956.290110086,385095.868059595,1603364.54592153
b_t,2008,831522.380619246,441538.65452356,389158.675491369,1589539.87364767
b_t,2009,746573.197306151,405650.343769392,345490.734696547,1434301.56053713
b_t,2010,705282.695074173,363015.914304807,322477.092205653,1368176.73676175
b_t,2011,586618.291220298,295462.858336397,274367.427127562,1121025.20845898
b_t,2012,556568.241921319,283302.835706786,259445.731048572,1057180.74284455
b_t,2013,543231.471098384,284063.365004379,251409.244329038,1021864.77667035
b_t,2014,636868.5920479,331981.316800298,293224.931466628,1211637.75467205
b_t,2015,685372.053392248,360955.415151804,310399.114329965,1333709.69936424
b_t,2016,619361.121384226,387092.658411155,256310.928656286,1260546.76776273
b_t,2017,521812.623963206,326227.455173545,198770.127315411,1128625.45348695
b_t,2018,465538.137789598,297161.042754257,180375.569800271,933413.929449443
b_t,2019,398662.421172627,226227.002838215,171674.120444534,801440.847770693
bmsy,1951,383343.648327094,173055.049103038,204768.014399248,672699.855669759
ck,1951,0.00682460733538459,0.00247402045906069,0.0033447328960288,0.0109880443429835
ck,1952,0.00545968586830767,0.00197921636724855,0.00267578631682304,0.00879043547438676
ck,1953,0.00470139616437605,0.0017043252051307,0.00230414932837539,0.00756954165849971
ck,1954,0.00470139616437605,0.0017043252051307,0.00230414932837539,0.00756954165849971
ck,1955,0.00470139616437605,0.0017043252051307,0.00230414932837539,0.00756954165849971
ck,1956,0.00545968586830767,0.00197921636724855,0.00267578631682304,0.00879043547438676
ck,1957,0.00545968586830767,0.00197921636724855,0.00267578631682304,0.00879043547438676
ck,1958,0.00606631763145297,0.00219912929694283,0.00297309590758115,0.0097671505270964
ck,1959,0.00682460733538459,0.00247402045906069,0.0033447328960288,0.0109880443429835
ck,1960,0.00682460733538459,0.00247402045906069,0.0033447328960288,0.0109880443429835
ck,1961,0.00879616056560681,0.00318873748056711,0.00431098906599267,0.0141623682642898
ck,1962,0.00879616056560681,0.00318873748056711,0.00431098906599267,0.0141623682642898
ck,1963,0.0101610820326837,0.00368354157237925,0.00497993564519843,0.0163599771328865
ck,1964,0.0104643979142564,0.00379349803722639,0.00512859044057749,0.0168483346592413
ck,1965,0.00743123909852989,0.00269393338875497,0.00364204248678691,0.0119647593956931
ck,1966,0.00909947644717946,0.00329869394541425,0.00445964386137173,0.0146507257906446
ck,1967,0.00606631763145297,0.00219912929694283,0.00297309590758115,0.0097671505270964
ck,1968,0.00470139616437605,0.0017043252051307,0.00230414932837539,0.00756954165849971
ck,1969,0.00485305410516238,0.00175930343755427,0.00237847672606492,0.00781372042167712
ck,1970,0.00409476440123076,0.00148441227543641,0.00200683973761728,0.00659282660579007
ck,1971,0.00497438045779144,0.00180328602349312,0.00243793864421654,0.00800906343221905
ck,1972,0.0083260209491692,0.00301830496005404,0.00408057413315513,0.0134054140984398
ck,1973,0.00961511344585296,0.00348561993565439,0.00471235701351613,0.0154809335854478
ck,1974,0.0139464642347104,0.00505579825367158,0.00683514749152907,0.0224546790617946
ck,1975,0.0109891343893771,0.00398372272141195,0.00538576323658326,0.0176931931798351
ck,1976,0.0113940610912765,0.00413051460198288,0.0055842173884143,0.0183451504775188
ck,1977,0.0168127993155719,0.00609488684647707,0.00823993530786116,0.0270696576858477
ck,1978,0.0174861605726632,0.00633899019843772,0.00856994895360267,0.0281538113943554
ck,1979,0.0115927329937066,0.00420253608645776,0.00568158627938758,0.0186650246572812
ck,1980,0.0126710209526974,0.00459343131898935,0.00621005407696013,0.0204011356634726
ck,1981,0.0160211448646673,0.00580790047322603,0.00785194629192182,0.0257950445420616
ck,1982,0.0210334398076553,0.00762493105482504,0.0103084667855607,0.033865152665075
ck,1983,0.0332752687879274,0.0120627739760557,0.0163081743270595,0.0535752624287555
ck,1984,0.0445176719384176,0.016138310345615,0.0218180643177843,0.071676234143097
ck,1985,0.020460172791483,0.00741711333626395,0.0100275092222943,0.0329421569402644
ck,1986,0.0148473124029811,0.00538236895426759,0.00727665223380487,0.0239051009150684
ck,1987,0.0423277312734631,0.0153444246694186,0.0207447766951475,0.0681502928028151
ck,1988,0.0434120855500853,0.0157375190312472,0.0212762175886276,0.0698961709595336
ck,1989,0.0545043473391971,0.0197586269507071,0.0267125234556398,0.0877554056983294
ck,1990,0.0578074572895232,0.0209560528528925,0.0283313741773177,0.0930736191603334
ck,1991,0.0464422112069961,0.0168359841150701,0.0227612789944644,0.0747748626478183
ck,1992,0.0233598726193175,0.00846829714020262,0.0114486490661181,0.0376108548922165
ck,1993,0.0295596492386625,0.0107158072816782,0.0144871530836661,0.047592882730909
ck,1994,0.0697217051176968,0.0252751427920882,0.0341705345398071,0.112256302795551
ck,1995,0.05061280457862,0.0183478855067183,0.0248052824309264,0.0814897786351971
ck,1996,0.0626423124417912,0.0227087589025559,0.0307009316156599,0.100858038130429
ck,1997,0.0570400681091444,0.0206778629968292,0.0279552775450087,0.0918380746186557
ck,1998,0.0628758656706022,0.0227934253804882,0.0308153958081017,0.101234073425722
ck,1999,0.0554097452456914,0.0200868469982759,0.0271562580198462,0.0892131529144985
ck,2000,0.04617680981062,0.0167397722083289,0.0226312060485077,0.0743475498122578
ck,2001,0.0471277050993503,0.0170844857256246,0.0230972388320211,0.0758785506573802
ck,2002,0.0728716405478288,0.0264170406795258,0.0357143145898186,0.117327895706746
ck,2003,0.0794763438690732,0.0288113427015723,0.0389512727591976,0.127961880843122
ck,2004,0.0838865567871395,0.0304101097004498,0.0411127134840091,0.135062599276321
ck,2005,0.0909856649953474,0.0329836407601971,0.0445919789698559,0.146492607180655
ck,2006,0.094316073375015,0.0341909627442187,0.046224208623118,0.151854772820031
ck,2007,0.0875536457953529,0.0317394833604517,0.0429099499601419,0.140966841769951
ck,2008,0.0910038639482417,0.0329902381480879,0.0446008982575787,0.146521908632237
ck,2009,0.0790638342701344,0.0286618019093802,0.038749102237482,0.127297714607279
ck,2010,0.0723681361844182,0.0262345129478795,0.0354675476294894,0.116517222212997
ck,2011,0.0549123071999123,0.0199065183959265,0.0269124641554246,0.0884122465712766
ck,2012,0.0600701937660552,0.0217763280806522,0.0294403389508455,0.0967167663069403
ck,2013,0.0552232059785242,0.0200192237723949,0.0270648353206881,0.0889128130357903
ck,2014,0.0665641867905256,0.0241304959930295,0.0326230381199111,0.107172500946197
ck,2015,0.091078176339227,0.0330171774819755,0.0446373186824465,0.146641556226194
ck,2016,0.141060083884176,0.0511363535418117,0.0691333991389845,0.227115551206573
ck,2017,0.089082357838479,0.0322936639432813,0.0436591701288523,0.143428163702779
ck,2018,0.0961966318407655,0.034872692826271,0.0471458683544681,0.154882589483431
ck,2019,0.0822025318468541,0.0297996259097952,0.0402873746273248,0.132351213872123
crashed,1951,0,0,0,0
delta,1951,100,0,100,100
dep_t,1951,0.865179950399369,0.0794567521057998,0.739707423921154,0.996962223787444
dep_t,1952,0.818392879011462,0.162043540272669,0.594357071994209,1.09239586239722
