variable,year,mean,sd,lower,upper
b_t,1951,1170035.18235209,602571.685536641,529654.840724023,2260700.81055025
b_t,1952,530318.945938701,306116.286070415,206321.488154994,1064159.73368707
b_t,1953,375317.89102322,215251.116241998,146918.187781126,769703.179252081
b_t,1954,349275.742880134,213985.398818335,126294.443429292,713328.552250104
b_t,1955,346208.509361088,203132.866146209,129843.632969738,703421.635111866
b_t,1956,327110.549565035,195093.763564309,121308.506677727,673453.806165726
b_t,1957,286126.467807086,180945.263473467,107669.716593061,596378.69437945
b_t,1958,273097.522022677,165529.779774245,104741.012801605,574936.418058719
b_t,1959,243049.167326336,141781.400423954,91071.4337024744,506778.862894364
b_t,1960,246122.304838624,141898.740387882,95602.8470842566,504562.159197536
b_t,1961,273250.992639706,163597.05180323,101388.174545698,572691.151719135
b_t,1962,248655.565726307,149118.680290306,94678.7287147328,523528.896291819
b_t,1963,246987.948338259,144916.901882266,92349.2736774388,511037.753475508
b_t,1964,252579.262894278,153931.751305935,95006.7868199669,543985.732571148
b_t,1965,257717.228243619,151800.308576065,96392.2372351254,534247.984190936
b_t,1966,241617.275004703,138457.835082369,93463.2356325312,505938.277830404
b_t,1967,211019.470823358,121069.091831383,79903.5060528966,437377.314856409
b_t,1968,194295.910214091,116184.935667162,74518.8445044083,407984.244794384
b_t,1969,209525.614844192,124333.082351994,79853.5843279924,422302.551613943
b_t,1970,236403.643041608,142678.760726045,92111.8036219364,484986.925219438
b_t,1971,252192.899400953,145033.966900386,99104.3269784239,525129.560782633
b_t,1972,330303.097512157,194313.905992732,126813.303003911,673012.432468226
b_t,1973,396802.82472842,231395.070988679,152515.587394211,813709.617040654
b_t,1974,536369.406310974,324606.590806004,203548.675693945,1111474.76322526
b_t,1975,1197879.11702416,724149.990659631,440262.759794938,2509743.98644673
b_t,1976,1057965.62928658,647669.331459141,389421.784688664,2230586.34054793
b_t,1977,903280.001051415,559484.03410892,338721.266317378,1914802.14125055
b_t,1978,693417.093805445,413304.051978634,259518.56785047,1418801.08495106
b_t,1979,723906.510439458,442936.976270408,267452.168433659,1509495.6140244
b_t,1980,819020.38552005,465441.996591917,312442.301682853,1662673.09778573
b_t,1981,1027074.36587507,624940.878889232,383229.657925475,2168501.89413771
b_t,1982,1262652.45766183,750827.38325464,481084.020880981,2558950.45849675
b_t,1983,1466667.0617218,873140.515349203,574226.576464316,2950990.90099324
b_t,1984,2086911.57773669,1308103.56659242,792737.956293139,4275829.15181409
b_t,1985,2095946.72401993,1245135.11061776,801213.910218651,4284759.80840942
b_t,1986,1929847.79952862,1120945.08106027,763701.678941449,3970074.03266654
b_t,1987,2340435.86848601,1366892.31607624,923097.410867025,4657520.39996264
b_t,1988,1912413.85335899,1172468.37919071,729537.88597888,3928052.62646728
b_t,1989,2188698.48794882,1336743.72203125,839671.563868744,4435431.57618055
b_t,1990,2268039.06092858,1296624.73399481,873636.217067396,4665510.8788672
b_t,1991,2117167.71838528,1206252.4231257,833255.735582836,4255390.18231429
b_t,1992,2208414.12175966,1252479.1471758,875848.914926656,4498986.49744188
b_t,1993,2111397.06194018,1243830.21306351,830486.996809927,4323119.02515744
b_t,1994,1895922.46469712,1075511.2078932,749319.045828448,3864179.16322643
b_t,1995,1949056.99036989,1125816.94774127,749755.887714647,4098719.6555975
b_t,1996,1958992.64352475,1157522.87260137,753298.063368889,3994839.0660227
b_t,1997,1770255.16101595,1141135.65564813,673570.091876904,3597472.32042377
b_t,1998,1764648.48196032,1061100.91817118,659986.645069951,3703104.69832001
b_t,1999,1769025.23631705,1057732.02561791,685362.137746423,3640291.63963041
b_t,2000,1639549.27834754,942966.873088641,636175.162153817,3260636.44052089
b_t,2001,1655838.60184186,979141.970493148,649850.879456822,3354349.77734073
b_t,2002,1778267.78203885,1080397.25940786,677024.138382829,3759697.27508928
b_t,2003,1327971.85434478,764140.774679973,515335.764935867,2710480.11905663
b_t,2004,1269186.58727818,793519.343713521,482184.891261651,2635977.55533541
b_t,2005,1204108.5854414,705842.515861338,472456.636176168,2517243.04851602
b_t,2006,1608771.28544264,998725.420756349,619225.532046936,3447583.86435566
b_t,2007,1711168.76533861,1017150.96287735,657636.688445294,3492331.82327432
b_t,2008,1754024.13046644,1002322.36985791,668624.768644767,3687254.97752612
b_t,2009,1817342.96429073,1067097.24437812,702471.074925293,3689837.22582525
b_t,2010,1867984.92444858,1069009.0454965,739929.230419812,3829400.10156855
b_t,2011,2257589.63658777,1296789.10847291,869245.63258519,4617614.98899506
b_t,2012,2220193.86288937,1324431.66973741,859858.897378775,4620358.18276452
b_t,2013,2102444.85586628,1267546.70279052,804738.58888074,4363596.29176363
b_t,2014,2003988.20245497,1188334.05312208,775072.983049131,4228855.64274278
b_t,2015,2299927.49123863,1404470.12026666,893549.101682557,4747516.92384751
b_t,2016,1690383.68853979,1143962.59189042,597223.784558801,3684639.73909502
b_t,2017,1375576.95759623,940877.731723075,490380.756520366,2940719.7592912
b_t,2018,1148893.85327365,845625.637067977,426964.587446762,2475153.50371474
b_t,2019,807625.373143073,473506.584270163,312685.127906758,1683022.21550692
bmsy,1951,816709.503699067,414140.504687801,378535.562675747,1568247.62083689
ck,1951,0.000521790501475245,0.000224044268740142,0.000223179099730326,0.000924617302826292
ck,1952,0.000596332001685994,0.000256050592845877,0.000255061828263229,0.00105670548894433
ck,1953,0.000596332001685994,0.000256050592845877,0.000255061828263229,0.00105670548894433
ck,1954,0.000670873501896743,0.000288056916951611,0.000286944556796133,0.00118879367506238
