variable,year,mean,sd,lower,upper
b_t,1951,493213.143966498,207473.602128435,258228.222754198,823512.320620331
b_t,1952,347.186614256309,471.768731767522,19.7360984741699,1169.57882381008
b_t,1953,31.8461642514071,64.9041435049104,2.71096766504619,112.294688641336
b_t,1954,50.1711782241649,88.9331772524477,3.38360124938718,159.161360811627
b_t,1955,3929.32073307856,7072.89738023209,393.578177848299,15737.2179888224
b_t,1956,18702.4094943418,35764.9833074557,1415.01631901823,71605.959111805
b_t,1957,26555.8042289729,43184.1681723692,2542.4644581257,88648.8066003001
b_t,1958,29370.7464720779,48804.4551608483,2247.82383276153,92074.6114162428
b_t,1959,51608.6375536527,150163.924593825,3324.48302099126,145381.243934239
b_t,1960,38658.0630383547,58464.6558073553,3315.7494835438,147349.746557633
b_t,1961,36951.0496352226,53744.9258263664,2443.05276153372,120397.049758728
b_t,1962,28693.6404814384,39715.7674691974,2828.65672969962,96167.1292603846
b_t,1963,28367.3991268264,46641.5059179389,2645.11029949975,91899.1756110076
b_t,1964,30204.0802931936,54509.9179673723,2496.86914708945,95059.0999604836
b_t,1965,50431.7929986235,129581.476693723,2835.74523713093,136290.738564153
b_t,1966,35726.9640207114,55587.0380415793,2532.78232520296,124798.987317001
b_t,1967,46739.2181315748,82356.2691752105,4508.68851650582,149140.666361908
b_t,1968,47047.3569998873,86720.5001838152,2957.78318339752,153014.534864122
b_t,1969,46450.7639642724,57910.4923596485,4741.19236186146,142872.812042594
b_t,1970,57129.198360575,75960.0823170611,7177.29118996507,164459.174560559
b_t,1971,84590.7828979085,123777.352728051,7572.3243430696,294394.252300015
b_t,1972,93948.5321495484,144365.456950444,7043.77922691305,334233.409574231
b_t,1973,108595.994972089,166173.43679837,8637.28405227725,406838.662638625
b_t,1974,113212.676180668,167303.448369923,10307.5848438734,359150.587020921
b_t,1975,134273.455234652,202297.503448705,11354.1225544829,472584.733987207
b_t,1976,159852.329196405,196984.335900943,15603.1082934708,505090.105774506
b_t,1977,221456.419442246,270106.384291363,20871.7053706844,674354.542417242
b_t,1978,167075.514717081,201281.153976641,17474.3996940611,546776.449742376
b_t,1979,365940.868667684,327584.136131519,54235.1670419272,1028647.71800347
b_t,1980,360042.011237671,311512.671838656,52970.643327059,926609.87685857
b_t,1981,371548.257133255,363657.881640333,47473.5595911298,1012513.99052272
b_t,1982,348869.734645487,349902.413328062,39436.4348190502,1079900.32026774
b_t,1983,327314.178816245,308994.435348296,51526.9741715734,874719.82856968
b_t,1984,384147.675633652,331162.192781282,55312.3230372307,1008204.71710155
b_t,1985,361085.161831253,285828.112012937,67381.6838739707,905060.796210902
b_t,1986,337375.641859473,303797.0945403,57429.7325333252,913771.565231525
b_t,1987,373934.57453015,329208.232075014,51310.7662854497,976512.365480639
b_t,1988,352376.343671924,322722.915664631,47643.4644679513,944606.15421399
b_t,1989,376466.247422518,325263.651538493,60365.6811541964,1002280.36468102
b_t,1990,422828.846200784,341472.822439602,57020.2387363597,1045812.92953561
b_t,1991,394644.478992569,335884.914512013,53563.9457639284,971861.190092921
b_t,1992,415868.590285421,339618.017993272,74308.1221739044,1000691.10626702
b_t,1993,358299.559166107,311905.131041273,49920.5838083136,971154.843960744
b_t,1994,338534.74512851,318405.709116013,45864.5392357902,989724.226405649
b_t,1995,314866.717736009,313870.594227443,54153.7527653272,986827.790637834
b_t,1996,398752.344778628,344538.20389992,61666.6905860718,960102.341667128
b_t,1997,399907.643185498,326258.281972038,74779.1894418115,1014245.08145158
b_t,1998,341677.774024964,298969.114437318,70375.0827553323,869965.520923845
b_t,1999,380497.687160511,363823.263074846,55602.8124355016,1052295.27024302
b_t,2000,396655.134484952,356372.237019783,75042.2317244074,1165703.09498748
b_t,2001,374632.753664561,341700.941434364,66964.6718270107,1029183.88141517
b_t,2002,372636.640071166,413177.01647004,50175.9226866307,996055.761252316
b_t,2003,351269.642348069,372082.379104472,59123.6110749353,867000.464412017
b_t,2004,332408.36001554,302531.231093537,58214.0739808079,915018.489064998
b_t,2005,343436.842876424,333234.490174153,56895.3122559009,1021062.70372201
b_t,2006,370104.234460525,318222.485490596,60254.6471625565,954257.198542419
b_t,2007,356589.889881649,310994.350261111,65341.6083613566,989104.94435416
b_t,2008,369878.165991225,345954.136608368,65110.2675283747,971286.000041036
b_t,2009,327228.253983818,316303.764932053,49002.1762153646,941814.607939937
b_t,2010,417209.670233779,350356.45503754,56814.5513301784,1102842.05677155
b_t,2011,373017.325127535,319897.998457378,56769.3903008963,978629.962519462
b_t,2012,378941.634354504,306092.409753223,74527.5019301582,959548.691852696
b_t,2013,382514.132108169,318923.694261337,66133.4776677054,991871.577915562
b_t,2014,438908.3251977,360955.00063023,81178.4855285745,1125464.39466193
b_t,2015,388684.377073051,325444.558028969,84483.1481905704,947163.618478494
b_t,2016,325054.036020935,299394.606877736,68073.2305283262,871122.055539329
b_t,2017,272060.785334308,268192.568453088,54946.1240153645,803099.122657066
b_t,2018,314230.223773149,305345.774634913,62427.1352153867,869400.641886243
b_t,2019,279789.928186067,125325.940631332,129786.878577045,492309.707719169
bmsy,1951,313071.890693708,117998.615101491,167986.091272184,498866.463536334
ck,1951,1.80101203817375e-09,6.2755626898174e-10,1.00227222425141e-09,2.97643689722539e-09
ck,1952,1.80101203817375e-09,6.2755626898174e-10,1.00227222425141e-09,2.97643689722539e-09
ck,1953,1.80101203817375e-09,6.2755626898174e-10,1.00227222425141e-09,2.97643689722539e-09
ck,1954,1.80101203817375e-09,6.2755626898174e-10,1.00227222425141e-09,2.97643689722539e-09
ck,1955,0.000180101203817375,6.2755626898174e-05,0.000100227222425141,0.000297643689722539
ck,1956,0.000180101203817375,6.2755626898174e-05,0.000100227222425141,0.000297643689722539
ck,1957,0.000180101203817375,6.2755626898174e-05,0.000100227222425141,0.000297643689722539
ck,1958,0.000180101203817375,6.2755626898174e-05,0.000100227222425141,0.000297643689722539
ck,1959,0.000180101203817375,6.2755626898174e-05,0.000100227222425141,0.000297643689722539
ck,1960,0.000180101203817375,6.2755626898174e-05,0.000100227222425141,0.000297643689722539
ck,1961,0.000180101203817375,6.2755626898174e-05,0.000100227222425141,0.000297643689722539
ck,1962,0.000180101203817375,6.2755626898174e-05,0.000100227222425141,0.000297643689722539
ck,1963,0.000180101203817375,6.2755626898174e-05,0.000100227222425141,0.000297643689722539
ck,1964,0.000180101203817375,6.2755626898174e-05,0.000100227222425141,0.000297643689722539
ck,1965,0.000180101203817375,6.2755626898174e-05,0.000100227222425141,0.000297643689722539
