variable,year,mean,sd,lower,upper
b_t,1951,695232.910687443,352888.906227457,326921.324971997,1381913.42224722
b_t,1952,237842.229327648,140416.040791543,93120.559426052,498590.669940786
b_t,1953,150653.738108696,91582.2271538186,57737.0128769931,310270.998694133
b_t,1954,133857.615448925,79144.8561305857,50864.9845604498,274740.616325297
b_t,1955,145592.250605453,86559.3005392046,53745.6144385579,306255.032658568
b_t,1956,142588.491041555,85799.6250338026,54066.4036116732,306440.669333966
b_t,1957,126270.391587207,77160.9942132555,47131.1974004431,268993.770827423
b_t,1958,116483.969532614,70383.088410028,43278.724902228,242435.845950542
b_t,1959,95152.6293035147,56831.8743273877,34945.0560585646,200387.769038142
b_t,1960,104264.657100521,62942.1363550081,38706.8663107555,225928.475103609
b_t,1961,114989.160129458,68457.0623197818,43222.1541331913,237063.804419835
b_t,1962,104729.334876487,65063.8239524977,38724.156681208,216807.049860623
b_t,1963,102684.671296235,61649.083494992,38169.5248613938,216202.42083124
b_t,1964,100557.988248038,61148.9521896388,38695.6944738042,216605.084427918
b_t,1965,104247.211491623,64206.3366029587,38670.9828480232,220031.198542771
b_t,1966,95832.1481274158,59237.2404387259,35328.7566106201,199428.692907468
b_t,1967,85677.5088876067,53495.4807568324,32283.0114641341,181710.876081127
b_t,1968,80022.9048514939,49113.4544984586,30364.8806823321,168342.867767416
b_t,1969,94159.0421664758,57161.1334664304,34531.824690015,197113.477032736
b_t,1970,124419.53473529,73406.814134544,47272.9691383034,260632.088442517
b_t,1971,132303.567847811,79327.3834171246,49788.4513983498,283302.139951748
b_t,1972,140970.103328557,82678.9517118621,53247.6933327226,299396.342790113
b_t,1973,159495.635700855,94851.0101898402,60304.2957697221,334506.941978135
b_t,1974,255880.655241369,155945.944192896,97921.3248808316,540513.002488173
b_t,1975,557250.57666409,329646.834960196,202193.292938689,1123829.56921754
b_t,1976,731237.437066954,441785.944532685,269897.986453116,1532842.5546834
b_t,1977,976832.215285308,616067.930081666,367782.696061718,2075798.83635814
b_t,1978,840510.400737705,490413.489651976,315032.712405286,1774622.50757319
b_t,1979,894513.194882864,554958.989154401,319667.946930404,1883697.1294854
b_t,1980,889825.903780848,582963.407958393,322563.589658547,1912909.89344512
b_t,1981,838592.802474368,510650.448852535,308784.180152104,1795100.35020649
b_t,1982,785514.177724722,463665.965327658,301301.025978455,1638107.41691219
b_t,1983,763911.455165391,462953.309487445,291083.231198714,1609787.45119368
b_t,1984,853159.637541679,495520.444423604,333841.701880037,1740562.88974364
b_t,1985,781127.38006802,473125.889217534,289247.10403325,1661704.51611255
b_t,1986,732730.936519771,435242.6068441,282910.738952797,1530343.1908349
b_t,1987,943593.154370584,586098.748642104,349808.574427714,2011014.56843662
b_t,1988,849218.557241163,529405.539732589,317351.5659367,1848669.77453675
b_t,1989,886947.882594927,534025.010951499,335908.472804615,1852572.56616851
b_t,1990,878158.395262845,527392.119072329,341705.665960452,1871475.40716478
b_t,1991,946551.490529719,583367.898029447,379336.338671307,1985426.03286523
b_t,1992,1208714.48474504,740005.542322993,463833.98600314,2518541.13412532
b_t,1993,1208640.29121365,708399.061179351,458078.042609456,2508543.9952274
b_t,1994,1212946.46994224,729271.852605044,468485.978030517,2556893.4087982
b_t,1995,1374489.90338342,800132.223746759,559727.231322422,2873021.95396984
b_t,1996,1435905.50324774,811504.560539776,559302.103189812,3020136.18308074
b_t,1997,1340564.20097137,822920.500178314,529513.647600786,2815384.92341531
b_t,1998,1306217.41830043,763302.589829119,512568.413333971,2712017.91050531
b_t,1999,1203576.04941709,696691.304375106,475201.999042467,2499041.856696
b_t,2000,1113520.09358678,693243.74644344,417275.761069869,2391126.46370848
b_t,2001,1057127.59800374,656449.829174758,401985.587098038,2167505.51076466
b_t,2002,1078388.82279177,654202.593793942,419216.499988604,2186177.88805414
b_t,2003,877602.967505613,533650.663693583,342648.869018232,1873212.05870779
b_t,2004,873518.126976805,553874.796101076,328555.888218551,1815032.58941339
b_t,2005,752395.108564088,440427.338475763,293162.324934705,1558847.23980093
