variable,year,mean,sd,lower,upper
b_t,1951,985215.572552192,227171.354124246,699315.220003285,1370966.89275388
b_t,1952,1011308.2410615,265828.873202321,691014.544403105,1486083.033526
b_t,1953,979737.819591733,253138.049838473,672695.195390794,1406187.03792616
b_t,1954,1076687.60589416,289105.989934623,726746.272576594,1572526.43235393
b_t,1955,1058024.55532922,280119.254152152,711631.237243328,1517853.90496036
b_t,1956,1098165.00945829,290809.151053235,752169.766567802,1582814.48900715
b_t,1957,881862.557853466,238593.891662179,596667.150817539,1302679.02898388
b_t,1958,737993.271788426,198264.121075622,494014.016727214,1074229.61683484
b_t,1959,595266.796957797,159532.349654238,395557.669943025,871926.233420349
b_t,1960,592666.675922617,160460.052060383,397598.138392947,866065.735244152
b_t,1961,592139.335583319,162365.896590361,399667.307057299,869953.917915137
b_t,1962,567239.464655581,152793.079454765,388724.343105168,828325.060656522
b_t,1963,562571.035521757,154916.310089613,378863.305550697,824391.876639576
b_t,1964,557972.272824198,148182.421517262,377269.638200827,817632.544930862
b_t,1965,547122.549668541,147765.152208436,366787.530926786,797120.98279743
b_t,1966,574135.207849304,150974.722822466,388923.316517512,823245.5071645
b_t,1967,633781.759878011,166477.667097043,435096.41965002,907519.248437405
b_t,1968,627990.408210972,165382.676812446,429363.00497251,917015.869227476
b_t,1969,729849.556926166,196328.248348006,492963.16400252,1053293.59203156
b_t,1970,953920.134465777,248934.067530083,656887.13075567,1358223.34677828
b_t,1971,1014977.31864292,267762.437778394,692167.324670278,1477657.49917157
b_t,1972,1033103.97639333,273430.661925745,698410.401065034,1515237.51264053
b_t,1973,1122252.21941806,314414.428766711,772602.825887993,1638550.58170561
b_t,1974,1223234.14695072,329167.045215819,836324.800892421,1788399.01777338
b_t,1975,1147455.56681623,313756.514032168,768900.38067289,1687233.4547527
b_t,1976,1362761.33413925,375261.782627799,913584.589599249,1994743.68708804
b_t,1977,1305105.005706,348282.68233756,874693.662397205,1889108.95975788
b_t,1978,1071717.25981142,277170.669428735,721789.457751093,1561752.84958307
b_t,1979,1070029.9481825,285471.559591025,722108.130291077,1578895.96934905
b_t,1980,1164400.40008553,303940.420431759,795248.87568957,1701695.68849627
b_t,1981,1079240.24516373,295953.955472043,730370.252940577,1590115.24050556
b_t,1982,1165345.78692843,311980.760614373,788370.361000051,1696632.96735248
b_t,1983,1122074.42799961,291333.24112413,762480.24317529,1590667.84639317
b_t,1984,1118679.66996806,292191.623736819,759639.961894347,1616498.5894663
b_t,1985,1064346.8769473,284721.31530864,720468.894539749,1546856.67042224
b_t,1986,994556.825826843,260630.109084847,675629.659288463,1448143.22845224
b_t,1987,1107784.65888877,288466.658332189,753475.293739146,1606641.64346688
b_t,1988,855612.325392778,218278.121910306,579893.313527495,1231163.11891416
b_t,1989,984289.211127175,261751.393630298,675288.371776865,1416588.51401162
b_t,1990,969963.746446174,258994.062161701,660664.365836566,1386330.49021312
b_t,1991,801112.884699483,212054.705240292,544806.248896683,1158113.08128301
b_t,1992,1014752.6795037,264723.105352748,689867.397421838,1483239.4462085
