variable,year,mean,sd,lower,upper
b_t,1951,452738.197028987,293972.825166669,157070.670764209,996789.740109335
b_t,1952,266.728990952396,520.793396907866,15.507403997485,931.062453543462
b_t,1953,8.00476728753674,18.6535270490167,0.36680214113903,30.5266595367578
b_t,1954,1.41699322905023,3.06629971550919,0.155573131260512,4.77665638927417
b_t,1955,0.73390142650893,1.42317796444078,0.123882149416428,2.44584249780531
b_t,1956,0.548781454206545,1.05793435571003,0.126454161127244,1.59208160447883
b_t,1957,0.450729322002715,0.631408809585279,0.1268399755203,1.15025532106633
b_t,1958,0.429725806161188,0.894268755510833,0.118512824826272,0.966281215268533
b_t,1959,0.429219249475377,0.950340297187498,0.117563064501939,1.00487585443425
b_t,1960,0.443934540519407,0.694940683832111,0.116874283327508,1.07226941515271
b_t,1961,0.445941697276125,1.88374983611401,0.117384708480094,0.950590511175554
b_t,1962,0.406634472001846,0.453746065782032,0.115783960944319,0.995471802193725
b_t,1963,0.398779122544644,0.423450181606003,0.113387759966405,0.942950998774395
b_t,1964,0.391496635891722,0.448131022915593,0.109926923376942,0.927765924756457
b_t,1965,0.38737541594355,0.437676916665535,0.116040244621564,0.932233700734157
b_t,1966,0.391019802084893,0.427515439070899,0.116877771584108,0.915877852802052
b_t,1967,0.385730595669073,0.493132803712909,0.121013018867016,0.929494412898574
b_t,1968,0.377737784245901,0.48633308045738,0.118258346350455,0.897094713488178
b_t,1969,0.377051809228383,0.376999276398579,0.111821113553958,0.924758889885658
b_t,1970,0.427092415093859,0.644422687164244,0.11913591994502,1.05408878354582
b_t,1971,0.426765512161401,0.562002004167727,0.118972808021727,1.05338704596778
b_t,1972,0.825360656153426,1.9827020491792,0.127316291522779,2.60545503752314
b_t,1973,5.3114522527076,12.0736846095343,0.248511062005482,19.4356265175357
b_t,1974,317.476545900797,677.149091500734,25.2220034211688,1092.77676573152
b_t,1975,3083.04108894572,5997.65284615527,195.631470443197,10498.7815526349
b_t,1976,14824.7460911737,26993.4045949674,753.991421490029,51225.9428097422
b_t,1977,29081.4173816358,55554.7825257651,1549.47220943814,97958.478781027
b_t,1978,39194.3401025769,84831.9849173798,2006.17119952323,128540.663270933
b_t,1979,89973.9537206872,171006.874196428,5989.1216807334,307873.426061654
b_t,1980,131591.548129394,238463.84379565,9415.78037816765,407129.809408939
b_t,1981,149457.117941795,234086.690989189,11900.1601293803,508458.427102981
b_t,1982,139081.591187782,217600.075968584,9944.16189533403,497466.639364673
b_t,1983,129817.637573546,204486.752502985,8566.77777697897,489734.429260554
b_t,1984,128339.432610723,188507.617371023,8902.90608951955,448283.952493822
b_t,1985,140123.114003947,214442.30437162,10877.9327583641,483978.892025476
b_t,1986,157551.835109377,229227.646108333,12607.6914576156,545568.051217492
b_t,1987,175412.649819159,247857.290481432,13061.2543561698,587667.04334744
b_t,1988,183215.660972908,265990.602524197,12048.9198745513,636511.191909314
b_t,1989,249256.772599735,308596.555429838,24389.1525734187,837211.215156506
b_t,1990,289110.048837222,351051.132789492,28594.9781474145,929601.129282943
b_t,1991,360652.330209779,457760.699167795,31935.6100461312,1147711.6102202
b_t,1992,379333.381435857,438200.650083065,40721.2104185002,1120142.5841423
b_t,1993,374466.154006564,418921.867806066,42674.4199463817,1130894.98871125
b_t,1994,334528.731631287,378262.396154248,33440.9740814392,1069595.0566998
b_t,1995,360597.669140353,395549.412307157,36418.7974159666,1087855.92312414
b_t,1996,381824.665372647,456105.416172384,38337.7201256182,1132984.88087755
b_t,1997,416372.575747523,460608.284752128,47107.145561606,1137401.31767596
b_t,1998,410286.972826113,433295.492336309,55691.6427469174,1153948.06020936
b_t,1999,426981.554890906,484337.273766275,49432.365416783,1253443.7240304
b_t,2000,395572.46805223,442692.186089477,48833.6902647311,1149742.54921856
b_t,2001,397087.158701123,452843.05738475,52766.7107273487,1158667.27723772
b_t,2002,399539.216008022,447118.689576793,40683.7224262052,1137754.92564218
b_t,2003,373699.7573499,469804.474746155,38322.4767069971,1154291.02245862
b_t,2004,350685.178131557,414215.037644033,36985.941253272,1044999.77058819
b_t,2005,308456.719293083,414944.468658362,32344.5103145797,932199.597762994
b_t,2006,302289.332196252,387817.286983802,33887.6689735239,904791.811031381
b_t,2007,301769.598092797,363550.766739928,36286.3224684413,881211.989713846
b_t,2008,310190.811930321,386581.816194954,33831.2714314448,952838.640451955
b_t,2009,299073.835410096,388737.044474291,31352.2105449553,912466.064349259
b_t,2010,254682.048832942,352384.205550461,26574.859342727,747086.485065781
b_t,2011,275148.410454142,365102.466630193,30114.3894094141,845023.063310518
b_t,2012,268237.008429113,360112.90260178,27959.2857150832,869260.998430365
b_t,2013,288934.152702605,361414.779845165,31271.9006662576,916487.46931884
b_t,2014,304731.291997302,376085.075158553,28846.5978360368,996394.682245328
b_t,2015,266366.961681373,331656.355939316,27324.7191277867,870946.681962707
b_t,2016,232409.700727358,325507.66226207,18482.351128726,757974.978229901
b_t,2017,225473.591440883,327528.072682327,22083.9386828273,752114.84339143
b_t,2018,255112.575880672,313457.580515427,23313.4195477447,783535.019674698
b_t,2019,248086.191587547,176111.600518854,80201.3226227825,566718.497781014
bmsy,1951,282108.34316067,181641.025969243,100473.395641957,606676.079561149
ck,1951,2.41539187351744e-09,1.34351981202287e-09,8.24163127250061e-10,4.97644189599073e-09
ck,1952,2.41539187351744e-09,1.34351981202287e-09,8.24163127250061e-10,4.97644189599073e-09
ck,1953,2.41539187351744e-09,1.34351981202287e-09,8.24163127250061e-10,4.97644189599073e-09
ck,1954,2.41539187351744e-09,1.34351981202287e-09,8.24163127250061e-10,4.97644189599073e-09
ck,1955,2.41539187351744e-09,1.34351981202287e-09,8.24163127250061e-10,4.97644189599073e-09
ck,1956,2.41539187351744e-09,1.34351981202287e-09,8.24163127250061e-10,4.97644189599073e-09
ck,1957,2.41539187351744e-09,1.34351981202287e-09,8.24163127250061e-10,4.97644189599073e-09
ck,1958,2.41539187351744e-09,1.34351981202287e-09,8.24163127250061e-10,4.97644189599073e-09
ck,1959,2.41539187351744e-09,1.34351981202287e-09,8.24163127250061e-10,4.97644189599073e-09
ck,1960,2.41539187351744e-09,1.34351981202287e-09,8.24163127250061e-10,4.97644189599073e-09
ck,1961,2.41539187351744e-09,1.34351981202287e-09,8.24163127250061e-10,4.97644189599073e-09
ck,1962,2.41539187351744e-09,1.34351981202287e-09,8.24163127250061e-10,4.97644189599073e-09
ck,1963,2.41539187351744e-09,1.34351981202287e-09,8.24163127250061e-10,4.97644189599073e-09
ck,1964,2.41539187351744e-09,1.34351981202287e-09,8.24163127250061e-10,4.97644189599073e-09
ck,1965,2.41539187351744e-09,1.34351981202287e-09,8.24163127250061e-10,4.97644189599073e-09
ck,1966,2.41539187351744e-09,1.34351981202287e-09,8.24163127250061e-10,4.97644189599073e-09
ck,1967,2.41539187351744e-09,1.34351981202287e-09,8.24163127250061e-10,4.97644189599073e-09
ck,1968,2.41539187351744e-09,1.34351981202287e-09,8.24163127250061e-10,4.97644189599073e-09
ck,1969,2.41539187351744e-09,1.34351981202287e-09,8.24163127250061e-10,4.97644189599073e-09
ck,1970,2.41539187351744e-09,1.34351981202287e-09,8.24163127250061e-10,4.97644189599073e-09
ck,1971,2.41539187351744e-09,1.34351981202287e-09,8.24163127250061e-10,4.97644189599073e-09
ck,1972,2.41539187351744e-09,1.34351981202287e-09,8.24163127250061e-10,4.97644189599073e-09
ck,1973,2.41539187351744e-09,1.34351981202287e-09,8.24163127250061e-10,4.97644189599073e-09
ck,1974,1.20769593675872e-05,6.71759906011433e-06,4.1208156362503e-06,2.48822094799537e-05
ck,1975,3.14000943557267e-05,1.74657575562973e-05,1.07141206542508e-05,6.46937446478795e-05
ck,1976,0.000137677336790494,7.65806292853034e-05,4.69772982532535e-05,0.000283657188071472
ck,1977,0.000185985174260843,0.000103451025525761,6.34605607982547e-05,0.000383186025991286
ck,1978,0.000137677336790494,7.65806292853034e-05,4.69772982532535e-05,0.000283657188071472
ck,1979,0.00110141869432395,0.000612645034282427,0.000375818386026028,0.00226925750457177
ck,1980,0.00116663427490892,0.000648920069207045,0.000398070790461779,0.00240362143576352
ck,1981,0.00128981926045831,0.000717439579620211,0.000440103109951533,0.00265741997245905
ck,1982,0.00123668063924093,0.000687882143755708,0.000421971521152031,0.00254793825074726
ck,1983,0.000905771952569041,0.000503819929508575,0.000309061172718773,0.00186616571099653
ck,1984,0.00111349565369154,0.000619362633342542,0.000379939201662278,0.00229413971405173
ck,1985,0.001246342206735,0.000693256223003799,0.000425268173661031,0.00256784401833122
ck,1986,0.00305547071999956,0.00169955256220893,0.00104256635597133,0.00629519899842828
ck,1987,0.00177048224328829,0.000984800022212761,0.000604111572274295,0.00364773190976121
ck,1988,0.00214003719993645,0.00119035855345226,0.000730208530743554,0.00440912751984779
ck,1989,0.00473175268022067,0.0026319553117528,0.00161453556628287,0.00974884967424585
ck,1990,0.00799736249321625,0.00444839409760771,0.00272880411432495,0.0164769991176253
ck,1991,0.0167483272509699,0.00931596637656656,0.00571474712435192,0.0345066481067997
ck,1992,0.0165985729548119,0.00923266814822114,0.00566364901046242,0.0341981087092483
ck,1993,0.0192530886238075,0.0107091964216343,0.00656940428731024,0.0396672183529421
ck,1994,0.0128619617264804,0.00715424299902177,0.00438866865260657,0.0264995530961507
ck,1995,0.0154971542604879,0.00862002311393871,0.00528783062443639,0.0319288512046765
ck,1996,0.0281368999346047,0.0156506622902544,0.00960067626933596,0.0579705716463961
ck,1997,0.0295305810456242,0.0164258732217916,0.0100762183937592,0.0608419786203827
ck,1998,0.0395158110507454,0.0219799841246941,0.013483308761811,0.0814145894184084
ck,1999,0.0343758571439002,0.0191209739647094,0.0117294896270229,0.0708247210637401
ck,2000,0.0347478274924219,0.019327876015761,0.0118564107486194,0.0715910931157227
ck,2001,0.0378226213474096,0.0210381767364661,0.0129055704096087,0.0779261036493189
ck,2002,0.0363685554395521,0.0202293778096283,0.0124094242070042,0.0749302856279325
ck,2003,0.0277166217486126,0.0154168898429624,0.00945727188519445,0.0571046707564937
ck,2004,0.0303832143769759,0.0169001357154356,0.0103671479776785,0.0625986626096674
ck,2005,0.0171009744645035,0.0095121202691219,0.00583507494093043,0.0352332086236144
ck,2006,0.015236291938148,0.00847492297424024,0.00519882100669338,0.0313913954799095
ck,2007,0.0151734917494366,0.00843999145912765,0.00517739276538488,0.0312620079906138
ck,2008,0.0164222493480451,0.00913459120194347,0.00560348510217316,0.033834828450841
ck,2009,0.0161082484044878,0.0089599336263805,0.00549634389563066,0.0331878910043622
ck,2010,0.0122363752312394,0.00680627136770784,0.00417521040264881,0.0252106546450891
ck,2011,0.0133861017630337,0.00744578679823073,0.00456751205121984,0.0275794409875806
ck,2012,0.0155092312198555,0.00862674071299883,0.00529195144007264,0.0319537334141565
