variable,year,mean,sd,lower,upper
b_t,1951,337171.471577286,151840.40003331,173594.017579925,601124.281673155
b_t,1952,352079.235748098,176764.025929535,165028.597235455,669199.058263451
b_t,1953,343300.158131231,175432.2746113,155817.155359938,647704.195244803
b_t,1954,342236.164224839,171008.250788089,154565.596037526,640938.85902247
b_t,1955,385274.869304159,194567.480899864,176093.161863672,743106.580013513
b_t,1956,399906.05750722,204749.678737603,178582.933860248,764104.309413518
b_t,1957,356114.170973613,177290.3272625,163925.065446957,680510.517069841
b_t,1958,340534.656067174,173386.670472334,150641.946146311,665463.84584626
b_t,1959,328268.348996525,167557.473551974,148324.892214522,643078.518609016
b_t,1960,340133.546107572,172404.983566741,153641.521716772,661659.303063629
b_t,1961,357676.413894288,183819.053298052,158105.399423718,686898.597273986
b_t,1962,308862.410779877,156277.309062637,139946.123386797,591921.169778374
b_t,1963,299096.728755665,150089.445386793,136384.402189073,577172.830653832
b_t,1964,289905.234584013,144309.193359502,132704.993881583,547219.201744068
b_t,1965,282528.969489335,142427.605968551,129839.967969642,539006.750994626
b_t,1966,273834.728319598,140183.91539554,123295.283389262,524773.01294922
b_t,1967,232695.393542111,120852.826947231,102034.979550623,444824.328065441
b_t,1968,185573.840585064,94480.9231828365,83116.8964296482,355709.963348908
b_t,1969,176280.079612739,91341.2152300093,78236.2056252201,334560.715948621
b_t,1970,157903.114565559,81147.3742036987,71301.5391745629,302875.077175799
b_t,1971,110840.389242643,56726.4596145808,48240.4781992379,215219.003253661
b_t,1972,82399.5765963674,42024.11485614,36534.8717832646,157851.723575205
b_t,1973,71950.7808357745,37371.7746798667,31250.924653904,137931.28275709
b_t,1974,102704.304157768,51880.2933810245,45258.4018991981,196381.660240505
b_t,1975,239115.9775114,119721.011249792,108422.327228139,455348.99320153
b_t,1976,368514.961137934,191137.894140641,162740.611196485,696657.638555755
b_t,1977,549070.82838847,269020.523311556,254358.330233604,1030851.36862655
b_t,1978,534847.590990605,265818.895687733,249626.811089274,999583.153716272
b_t,1979,484735.203056166,237114.666475141,219790.507250329,918643.974882004
b_t,1980,419677.064758899,211425.587957269,188541.105232692,806158.553745104
b_t,1981,346112.47463458,177161.709602482,153276.128834743,659815.726660999
b_t,1982,395426.415883241,204000.95541699,181552.266303154,750030.069893049
b_t,1983,367448.996928774,180404.018947601,167903.500600088,701585.648104184
b_t,1984,328917.448715223,164779.41369265,146525.777014411,625274.560839504
b_t,1985,276305.943903166,138860.433597143,122442.67961603,540845.386685421
b_t,1986,244612.606592557,123218.605050813,110971.501175874,471957.405207229
b_t,1987,304578.097487368,157182.112252318,133420.656643959,590186.922542822
b_t,1988,285728.91958325,142507.014066328,128513.723492109,546371.13592828
b_t,1989,319582.317053518,163641.451925957,144208.72902439,606535.937330908
b_t,1990,291806.649174398,145998.172783569,132300.959062659,553658.706624307
b_t,1991,268802.438593781,136978.060102957,122155.808574068,497015.160638618
b_t,1992,319147.430485605,159101.012542964,144184.688302467,606582.667532405
b_t,1993,325036.810347412,166008.72990357,148348.088017054,626532.283377146
b_t,1994,335053.34771498,170740.625639857,151551.823362629,647682.367629434
b_t,1995,381133.008113836,197597.780468214,173302.832010822,715201.407329975
b_t,1996,393208.398048202,197836.898982756,177943.623430812,748096.568630857
b_t,1997,376854.273154426,188913.920427103,168850.695806553,704897.568538658
b_t,1998,378778.805294376,186526.403347209,171543.678887028,721116.26297384
b_t,1999,382960.736638734,190509.732135595,174528.729001006,725044.825315198
