variable,year,mean,sd,lower,upper
b_t,1951,443951.447124091,186912.8145444,224875.093200355,769012.079403842
b_t,1952,217386.562736773,108860.759334604,94229.4557436954,405896.435513344
b_t,1953,156830.661465175,76415.940324075,67218.9339059677,291061.967915316
b_t,1954,139391.017599769,69039.2699676326,58985.8610224686,263865.827659304
b_t,1955,134696.818428236,66555.9663715267,58364.2445062495,250599.236119806
b_t,1956,126198.559739289,60832.2184214253,54076.7872801877,238755.297090279
b_t,1957,110106.323467924,54872.5914362461,46502.1876731789,210288.189622142
b_t,1958,104416.921646017,50832.7252441609,44402.0923054498,197302.182226838
b_t,1959,93149.2129210044,45233.2798304437,39067.2892681423,175229.507385484
b_t,1960,94109.210751141,46774.206506985,39894.5168297451,178268.096187728
b_t,1961,99988.4615418878,49852.7052382358,42043.3200872903,183838.906044767
b_t,1962,93309.640938083,46418.5338371439,39494.5283216973,172217.015176685
b_t,1963,107942.898072338,52366.6134873013,45416.9413950229,205404.350204585
b_t,1964,114879.036109456,57683.5871289076,48110.1810730836,222253.077481083
b_t,1965,103719.655991268,51439.3561980732,44146.6146489423,198953.206527454
b_t,1966,98171.764837473,47421.5198103521,41402.6868512463,185354.873780679
b_t,1967,108248.042825548,52542.3411123795,45890.7654844812,205015.689727244
b_t,1968,118588.295883322,58247.9171436362,50666.236705449,224041.52680179
b_t,1969,147647.612233925,73564.1067618818,61849.412375638,283211.201746265
b_t,1970,218574.268994087,112723.200110348,92151.9184688551,425099.663248758
b_t,1971,236537.293728048,120895.762476475,100476.941953617,448776.231844928
b_t,1972,248107.915487384,123578.20181967,108675.676466872,459173.624513591
b_t,1973,305791.340763003,152574.143088675,128276.096581571,572379.603061625
b_t,1974,399075.7785633,193251.304326983,165559.40527074,753374.820036827
b_t,1975,549501.404770242,268795.209822283,233304.914718165,1027115.70955496
b_t,1976,819851.851795097,398484.113309321,352484.899518545,1540380.38159115
b_t,1977,935491.528617043,463589.883341968,400504.392055808,1766216.54415396
b_t,1978,710633.786606287,336517.609277454,306247.116252403,1304773.34413973
b_t,1979,525927.008111301,258406.946868019,225507.389998807,999538.416897242
b_t,1980,460946.967646147,225196.906028858,195333.080553113,864694.879832376
b_t,1981,419993.901179893,202652.08876483,182156.733804128,778054.370720929
b_t,1982,426213.730285431,207818.475301579,181743.076837867,794759.302267342
b_t,1983,459098.309173484,223162.312725873,194777.619315274,866077.43524735
b_t,1984,565105.170443178,277473.882548647,242650.53569149,1034106.78886867
b_t,1985,528160.92203598,261588.228827975,227571.358978144,1005316.17434069
b_t,1986,487611.731922315,235508.46515726,208258.54663857,908197.679533393
b_t,1987,524763.34102576,260285.275158318,223573.965305249,982718.514118849
b_t,1988,419244.706193422,204417.581066164,181805.886858831,788159.727705146
b_t,1989,559902.823324541,279888.266227808,237844.345123294,1052224.75548243
b_t,1990,610853.481392114,303710.044429033,260495.387681991,1150079.4825991
b_t,1991,689825.080419933,334261.644102223,300963.79113797,1316595.09879472
b_t,1992,897558.393243718,424712.940779844,389162.698852576,1689635.36089567
b_t,1993,849771.754350968,412541.076721594,383212.040455822,1594022.54610343
b_t,1994,791229.314621737,382690.508274037,325894.943645301,1511642.91710736
b_t,1995,846416.73922371,403680.197034133,369951.951657702,1561634.64622245
