variable,year,mean,sd,lower,upper
b_t,1951,237805.468356049,78165.460506542,150246.95698729,371250.506748758
b_t,1952,194674.607004625,75843.2149837863,109379.36334508,320356.920519757
b_t,1953,215715.828291279,88278.4314956586,120168.717827596,356028.576619536
b_t,1954,201306.829497016,81557.4150719754,110231.616665981,332474.338599688
b_t,1955,180814.311333519,75127.8985803476,99440.5166992262,305983.313773577
b_t,1956,163875.250071017,66467.6273992188,90329.4912981151,265441.607150923
b_t,1957,156996.49065052,64395.0553052693,86999.8039615707,258822.004245223
b_t,1958,159900.265891584,65351.9273154453,88430.5062249203,273931.670342768
b_t,1959,147979.807339037,59844.9973885061,84413.3584580271,251685.932134382
b_t,1960,160221.015863274,65002.7552617402,88141.9945189659,269091.149875134
b_t,1961,150381.036491731,64134.6480139595,82250.5081646362,252823.150792756
b_t,1962,145060.721358597,61544.0591349157,80781.6666965807,240277.388951559
b_t,1963,128782.719133518,52706.8399970299,71698.7624658512,216287.993576895
b_t,1964,137564.438351381,56784.018534624,76386.1128353912,232161.447701009
b_t,1965,115976.187794713,47267.1118709165,63317.012508178,201142.469762573
b_t,1966,91541.7297180077,37021.3293376193,50469.756393387,154627.242332544
b_t,1967,79381.0489909243,32826.3720145549,43624.7234545507,133779.801265053
b_t,1968,72031.5336067434,30339.5961407619,39663.9955416321,121950.554664509
b_t,1969,93950.7844774667,38252.4594037778,51498.310457287,156517.813847077
b_t,1970,126023.417669422,52037.7507571676,69730.3272358749,215785.077010374
b_t,1971,142364.405602427,57408.0817999741,80255.8139885238,242980.742515378
b_t,1972,153998.678385139,61371.1485552477,86130.878432626,259825.878873933
b_t,1973,171369.068182605,71164.6023907594,95607.8087668528,294254.32558152
b_t,1974,193397.020339897,78113.3934444811,106167.786125999,330586.745070096
b_t,1975,212748.642310252,89096.0400333237,119571.650935207,361769.348100038
b_t,1976,189575.492985306,76471.183844261,104667.976284881,320326.466076225
b_t,1977,175451.571616368,72101.9515062128,96176.7657766841,297285.915077093
b_t,1978,146571.296991738,58519.0685121485,84059.7269510874,245261.531681137
b_t,1979,224602.548292449,87238.3434402786,126983.077737965,368288.197417919
b_t,1980,259328.851822128,102192.667734676,144755.815161182,431200.171247613
b_t,1981,252257.586129264,103279.231318896,139615.024698785,424758.261396649
b_t,1982,294040.801663279,113997.019608758,165718.86999613,498927.902305605
b_t,1983,308916.594951676,123350.658537585,176949.752165742,513021.886349062
b_t,1984,316470.44496485,126957.972293365,181875.984369606,526217.999750521
b_t,1985,266633.090051442,103722.200449611,150140.424532602,434669.057450782
b_t,1986,266765.38821214,104489.240769187,153252.633135512,442291.937091463
b_t,1987,336000.939782255,138914.649236464,184410.337356501,578421.528193989
b_t,1988,207334.864946922,83598.502023697,117822.754875224,347141.963320146
b_t,1989,212584.753410517,84826.956488711,116813.163080017,362384.65650469
b_t,1990,210703.922241302,85484.7848111849,119590.894962528,351174.695654737
b_t,1991,191927.909854135,75058.9022244031,107557.042084924,317440.570137482
b_t,1992,204578.765492815,79533.7937681267,116298.14096811,340373.826373343
b_t,1993,281511.969906397,111577.615179844,162015.141007607,469540.144747697
b_t,1994,298879.734660455,120407.580690784,172302.192141109,502150.608261617
b_t,1995,245901.100061021,99725.1321637301,137216.965229473,418455.669692483
b_t,1996,203590.439667691,81651.8546912077,116067.381033475,351380.190590452
b_t,1997,176133.728236413,68582.0003397459,100492.440721973,290933.425248032
b_t,1998,153200.285087911,60381.4056302013,84897.6564944744,256594.734665681
b_t,1999,134662.841817533,51615.5184316166,77099.3138721296,221654.984468718
b_t,2000,116844.827075812,45266.7023879228,67248.7543724752,190566.621124448
b_t,2001,117917.263075975,46033.6103561819,67151.56108433,195104.751444278
b_t,2002,123956.578399056,47366.6635940683,71145.997015674,203461.351081788
b_t,2003,115081.297590794,44694.3760716221,65821.5577759905,190444.547485751
b_t,2004,126812.770057831,48235.7791948806,74047.9934805895,204225.862237123
b_t,2005,107315.84030836,42110.8434234558,62294.3064041754,177890.996993307
b_t,2006,132236.423174954,51596.5167843368,76583.476648383,214107.399925818
b_t,2007,160438.977746739,61211.1868111163,91754.3032090642,265391.152150323
b_t,2008,156925.178165758,62050.7305369275,89944.3823332108,260323.527767686
b_t,2009,148320.864407979,57705.5070127831,84624.930170132,250525.5294135
b_t,2010,149319.32347695,60061.5985337833,84275.0993233447,246696.157125591
b_t,2011,161919.451218313,61301.2353999729,91936.0411790037,262142.215070845
b_t,2012,196125.399666895,74397.1710170288,113479.053964371,322541.122246563
b_t,2013,179985.229039394,69126.8659464616,105086.930734443,296538.112113019
b_t,2014,188810.496631915,74687.9512856394,110009.602217003,315446.082517106
b_t,2015,169022.477324304,65227.4055138458,97849.3086755856,287347.855628402
b_t,2016,165901.767196477,73210.5082239692,86319.9742737056,292268.715144695
b_t,2017,156336.237606388,72764.4487766428,78718.3339089682,279901.246183398
b_t,2018,143568.97201703,65534.0062029097,71616.9000561643,256555.57527027
b_t,2019,129481.023715232,54398.2172686763,67752.5481075227,224721.173925725
bmsy,1951,132579.837375928,41854.1010575621,86380.2298935692,199316.705730636
ck,1951,0.0203413635601644,0.0052540826063616,0.0125428542290279,0.0289418102940941
ck,1952,0.00813654542406575,0.00210163304254464,0.00501714169161117,0.0115767241176376
ck,1953,0.0150526090345216,0.00388802112870758,0.00928171212948068,0.0214169396176296
ck,1954,0.0134252999497085,0.00346769452019865,0.00827828379115844,0.0191015947941021
ck,1955,0.0101706817800822,0.0026270413031808,0.00627142711451397,0.0144709051470471
ck,1956,0.00935702723767562,0.00241687799892633,0.00576971294535285,0.0133132327352833
ck,1957,0.0117979908648953,0.00304736791168973,0.0072748554528362,0.0167862499705746
ck,1958,0.0122048181360986,0.00315244956381696,0.00752571253741676,0.0173650861764565
ck,1959,0.0126116454073019,0.00325753121594419,0.00777656962199732,0.0179439223823384
ck,1960,0.0158662635769282,0.00409818443296205,0.00978342629864179,0.0225746120293934
ck,1961,0.0122048181360986,0.00315244956381696,0.00752571253741676,0.0173650861764565
ck,1962,0.0187140544753512,0.00483375599785267,0.0115394258907057,0.0266264654705666
ck,1963,0.0126116454073019,0.00325753121594419,0.00777656962199732,0.0179439223823384
ck,1964,0.0195277090177578,0.00504391930210713,0.0120411400598668,0.0277841378823304
ck,1965,0.0150526090345216,0.00388802112870758,0.00928171212948068,0.0214169396176296
ck,1966,0.0117979908648953,0.00304736791168973,0.0072748554528362,0.0167862499705746
ck,1967,0.0130184726785052,0.00336261286807142,0.00802742670657788,0.0185227585882202
ck,1968,0.0113911635936921,0.00294228625956249,0.00702399836825564,0.0162074137646927
ck,1969,0.0174935726617414,0.00451851104147097,0.010786854636964,0.0248899568529209
ck,1970,0.0174935726617414,0.00451851104147097,0.010786854636964,0.0248899568529209
ck,1971,0.0207481908313677,0.00535916425848883,0.0127937113136085,0.029520646499976
ck,1972,0.0207481908313677,0.00535916425848883,0.0127937113136085,0.029520646499976
ck,1973,0.0235959817297907,0.00609473582337945,0.0145497109056724,0.0335724999411492
ck,1974,0.0332703342390049,0.00859357751096503,0.0205150923769981,0.0473372249170203
ck,1975,0.0371351933154361,0.00959185320617373,0.0228982346805134,0.0528361688728982
ck,1976,0.0228270781872165,0.00589613150085898,0.0140755910158152,0.0324784995120324
ck,1977,0.0266553228092394,0.00688494984737624,0.0164361561817182,0.0379253482093809
ck,1978,0.0219808774631136,0.00567756166443434,0.0135538082798876,0.0312745202037981
ck,1979,0.0598361550485796,0.0154554093948733,0.0368960600001086,0.0851352291611073
ck,1980,0.0585912635986975,0.0151338595393639,0.0361284373212921,0.0833639903711087
ck,1981,0.0469722767331316,0.0121327275546102,0.0289639589856713,0.0668324283311222
ck,1982,0.0664796443873292,0.017171392774111,0.0409925561913091,0.0945876244031584
ck,1983,0.0835338435961711,0.0215764156312845,0.0515084851769261,0.118852438153727
ck,1984,0.0864141806762903,0.0223203937283453,0.0532845533357565,0.122950598491371
ck,1985,0.0676268972921225,0.0174677230331098,0.0416999731698263,0.0962199425037453
ck,1986,0.087984533943135,0.0227260089055564,0.0542528616822374,0.125184906246075
ck,1987,0.107670905596662,0.0278109100519932,0.0663918360050907,0.153194790248699
ck,1988,0.0607271067725147,0.0156855382130319,0.03744543701534,0.0864028804519886
ck,1989,0.0617034922234026,0.0159377341781373,0.0380474940183333,0.0877920873461051
ck,1990,0.0614553275879686,0.0158736343703397,0.0378944711967392,0.0874389972605172
ck,1991,0.0665325319325857,0.0171850533888875,0.0410251676123046,0.0946628731099231
ck,1992,0.0499705937218998,0.0129071793307879,0.03081277569903,0.0710984511684716
ck,1993,0.109949138315401,0.0283993673039057,0.0677966356787418,0.156436273001638
ck,1994,0.131104156417971,0.0338636132145218,0.0808412040769309,0.186535755707495
ck,1995,0.0956979790051494,0.0247183570298888,0.0590091120058848,0.136159640709595
ck,1996,0.0740710412679826,0.0191322164028051,0.0456735493895823,0.105388708004914
ck,1997,0.0771751333472637,0.0199339894085359,0.047587588944932,0.109805228255793
ck,1998,0.0748440130832688,0.0193318715418469,0.0461501778502854,0.10648849679609
ck,1999,0.0669352909310769,0.0172890842244935,0.0412735161260393,0.0952359209537461
ck,2000,0.0615244882240732,0.0158914982512013,0.0379371169011179,0.0875373994155171
ck,2001,0.0636847410341626,0.0164494818239969,0.0392691680202407,0.0906110196687499
ck,2002,0.0677123310190752,0.0174897901800565,0.0417526531575882,0.0963414981069805
ck,2003,0.0659304275712048,0.0170295325437392,0.0406538991271254,0.0938061955252179
ck,2004,0.0909787826591912,0.0234994098652129,0.0560991698247504,0.129445140721365
ck,2005,0.0655236003000015,0.016924450891612,0.0404030420425448,0.093227359319336
ck,2006,0.069538985466778,0.0179616067981078,0.0428790014673549,0.0989404726713902
ck,2007,0.105795431876415,0.0273264836356867,0.0652353848451743,0.150526355339584
ck,2008,0.0976629547250612,0.0252259014096633,0.0602207517244089,0.138955419584005
ck,2009,0.0882042206695848,0.0227827529977052,0.0543883245079109,0.125497477797251
ck,2010,0.0804745025167223,0.0207862016072877,0.0496220399008803,0.114499589885495
ck,2011,0.0881350600334802,0.0227648891168435,0.0543456788035323,0.125399075642251
ck,2012,0.152039487794093,0.0392711150329891,0.0937503096494464,0.216322666862177
ck,2013,0.118695924646271,0.0306586228246412,0.0731900629972238,0.168881251428098
ck,2014,0.128602168700071,0.0332173610539393,0.0792984330067604,0.182975913041322
ck,2015,0.114660198115935,0.029616212835539,0.0707015607181847,0.16313919626575
ck,2016,0.121230458545868,0.0313132815173938,0.0747529026341607,0.172487400990742
ck,2017,0.12649887170795,0.0326740889124415,0.0780015018794789,0.179983329856913
ck,2018,0.116332176835126,0.0300480774094515,0.0717325331643939,0.165518097304683
ck,2019,0.138729075865772,0.0358330955713512,0.0855428678989735,0.197384535412616
crashed,1951,0,0,0,0
delta,1951,100,0,100,100
dep_t,1951,0.896630645604087,0.0761942916199332,0.771991462942938,1.01751980036514
dep_t,1952,0.72975823131492,0.128279318770494,0.542374922165738,0.941074377503549
dep_t,1953,0.806877541055503,0.155876086029605,0.580869729592123,1.0654624447136
dep_t,1954,0.753355821039575,0.146511211777635,0.537377638736302,0.998111119170155
dep_t,1955,0.676017779573786,0.133511796309579,0.477269420933916,0.903797158395364
dep_t,1956,0.614137562346305,0.120303167048955,0.44211564311122,0.82022757484631
dep_t,1957,0.588017586540364,0.11591208093984,0.422806684670504,0.784009650169359
dep_t,1958,0.598299198321543,0.120177714124566,0.426344610356979,0.79512641662408
dep_t,1959,0.553300182592508,0.105871184612658,0.399422313732849,0.738872623997941
dep_t,1960,0.600332699745351,0.123378667734749,0.428029003391181,0.814278981260417
dep_t,1961,0.562670952856209,0.114727807298958,0.397809483756125,0.756518129999149
dep_t,1962,0.543117233205582,0.108834978373212,0.385303322169475,0.725693970248715
dep_t,1963,0.482449288639833,0.0950869326826031,0.342548899950236,0.644867141281019
dep_t,1964,0.514548596712098,0.104213982908395,0.369609776117876,0.689300474784322
dep_t,1965,0.433026234843379,0.0862016942720744,0.312314954587566,0.583469910414185
dep_t,1966,0.342132762098014,0.0661630790703948,0.2460548150364,0.45302366794627
dep_t,1967,0.296732676476917,0.0599400307479778,0.21445908881761,0.406818702654987
dep_t,1968,0.269269445908153,0.0548056416334964,0.189930040716645,0.368498044754868
dep_t,1969,0.351592674371737,0.0697834880413491,0.248111368151933,0.470415356326154
dep_t,1970,0.471062991658862,0.0937600597371689,0.336646334318689,0.63267559326648
dep_t,1971,0.533077153432708,0.103834476345654,0.382624249256212,0.708332718971154
dep_t,1972,0.577669753330988,0.116060891599596,0.414520829563916,0.782948880168487
dep_t,1973,0.640602902242272,0.127138110235404,0.460788200984117,0.861935105136957
dep_t,1974,0.724163711970849,0.142774660481652,0.521454949943546,0.962903014587538
dep_t,1975,0.794988720559467,0.1541355344776,0.578454346647643,1.06648245380383
dep_t,1976,0.709147478795809,0.135370053399685,0.508865191601919,0.936760064625046
dep_t,1977,0.6559955147512,0.130056886553658,0.475161658750342,0.883547680283233
dep_t,1978,0.548999341348211,0.101859745899801,0.399419016896898,0.724567175356826
dep_t,1979,0.843050674543734,0.15656222545682,0.620064317559526,1.10952844302047
dep_t,1980,0.972586235332813,0.189084512720269,0.707507953671593,1.30010192407457
dep_t,1981,0.943354596356389,0.171550701245775,0.700656335311092,1.22907188655877
dep_t,1982,1.10182860423562,0.19410314010172,0.809885887939932,1.42462285332713
dep_t,1983,1.15596342801934,0.199422621671753,0.859546115139815,1.49297011669546
dep_t,1984,1.18541082985559,0.216483017388326,0.877120819215511,1.55138046241888
dep_t,1985,0.998621176288455,0.171068185183448,0.751342985296402,1.29347994959367
dep_t,1986,0.998924343689459,0.172425300857334,0.73978321837875,1.29440807028544
dep_t,1987,1.25560601671917,0.250735460464206,0.897532760414224,1.70000861092296
dep_t,1988,0.775716257592262,0.139700241686756,0.568461298321098,1.01154205648639
dep_t,1989,0.797002222546504,0.155377995257223,0.568708934335704,1.06369922509066
dep_t,1990,0.789061063839557,0.146134765131023,0.576135807393609,1.03917081265034
dep_t,1991,0.71952816144006,0.1347724993792,0.523134353971014,0.949775312287919
dep_t,1992,0.767079648013669,0.143078580772412,0.550767194629851,1.01447902680392
dep_t,1993,1.05576884770636,0.192698085532841,0.769785334032006,1.39074401621514
dep_t,1994,1.1190670730352,0.204240535288483,0.830231865370699,1.47040773916996
dep_t,1995,0.919335333464812,0.178721170213955,0.656214793334352,1.22518101418697
dep_t,1996,0.761784524089283,0.141099225111872,0.567270256123936,1.01022677699444
dep_t,1997,0.661955749311719,0.124934511709669,0.478170633969763,0.882695541550026
dep_t,1998,0.574968444714942,0.110113357632258,0.412787379788314,0.751803338362557
dep_t,1999,0.506457173571756,0.0960457743821422,0.368752169087138,0.668515412158655
dep_t,2000,0.439437078483949,0.0827592550528175,0.317419544596109,0.5804435853605
dep_t,2001,0.443143960757109,0.0822255587719326,0.324733759475221,0.581279679870276
dep_t,2002,0.466982962958108,0.0867021867130394,0.339715382229843,0.615645203982024
dep_t,2003,0.433370454748219,0.0843242898704142,0.311627025034186,0.57650458011752
dep_t,2004,0.478087193911027,0.0911606130123705,0.343825370584376,0.633516060800536
dep_t,2005,0.403254887001603,0.0730439378539228,0.299735775614972,0.529454389581134
dep_t,2006,0.497315936417339,0.0934007286580062,0.363972278632977,0.650544131541267
dep_t,2007,0.604363873233828,0.115963338746436,0.437091028223391,0.800923851356473
dep_t,2008,0.589447311810768,0.113239549008695,0.429127555982149,0.789943610370794
dep_t,2009,0.557677827755626,0.105913996911367,0.402528957800909,0.73677945585031
dep_t,2010,0.559986693475372,0.10737151442551,0.401956419254908,0.749928756475229
dep_t,2011,0.60926237619099,0.110398731558072,0.450789450364688,0.800275957653135
dep_t,2012,0.739342590386315,0.140488802058847,0.540637540460104,0.976619114865008
dep_t,2013,0.676924866021077,0.122383786660315,0.504649265199715,0.886154478119584
dep_t,2014,0.709768122323127,0.134329001825162,0.52204121498345,0.939765343828759
dep_t,2015,0.635494970268238,0.122781141532682,0.464247935071674,0.8449785481558
dep_t,2016,0.621448192498176,0.161162066236656,0.406128659709888,0.897798880476116
dep_t,2017,0.585280889578769,0.16802175384612,0.365297168070557,0.889466612699532
dep_t,2018,0.537345265685213,0.150130185699349,0.346140679692331,0.808409451135173
dep_t,2019,0.483357273389095,0.107256763130761,0.329265406074231,0.666509174867894
growth_t,1951,0.0409512228795841,0.0289741708865404,-0.00881847336139579,0.0866254262874713
growth_t,1952,0.0854666267708525,0.0372798640738274,0.0254630991783204,0.129530741222681
growth_t,1953,0.0616534692786905,0.0581264361693478,-0.0310115017837024,0.120488047390441
growth_t,1954,0.0774948840230954,0.0450740074535908,0.000877438310866536,0.128238962453782
growth_t,1955,0.0949949695208465,0.0322328243241574,0.0422376785588901,0.13393684662984
growth_t,1956,0.105241047878307,0.0250788230592646,0.0679143813770405,0.138923891776206
growth_t,1957,0.108267872730077,0.022503837577157,0.0753738083583276,0.139729797761654
growth_t,1958,0.106881730728693,0.0245517338757182,0.0717795677682073,0.140262355148753
growth_t,1959,0.111820823872491,0.0200143101139299,0.0824153187434577,0.143331326073858
growth_t,1960,0.106239110153887,0.0247930250451178,0.070510264353693,0.14030089986772
growth_t,1961,0.110203977428666,0.0209657399383421,0.0798472692370077,0.141178614444166
growth_t,1962,0.111942159594176,0.020280150241747,0.0817704373936611,0.142647418792488
growth_t,1963,0.114162900042328,0.0183797674282989,0.0857736022379586,0.143993035631467
growth_t,1964,0.113249295205452,0.0203079272136027,0.0849650889589717,0.143539818307619
growth_t,1965,0.112996277691127,0.018476673155543,0.0848827549727594,0.143498377104813
growth_t,1966,0.10483627314305,0.0191801885943741,0.0760683041438117,0.13729424658295
growth_t,1967,0.0974967103532796,0.019326549329987,0.0689641025099313,0.130613472564594
growth_t,1968,0.09216074400647,0.0191889831745458,0.0633117928499683,0.124353713480594
growth_t,1969,0.106043519202998,0.0196831825778453,0.0762422772203171,0.139213465448905
growth_t,1970,0.11404634381596,0.0183537540430077,0.0857633557750422,0.144649852752243
growth_t,1971,0.112832448633917,0.0193348898473107,0.083457931296385,0.14291095683688
growth_t,1972,0.109091737060645,0.0223307769593863,0.0750607035346188,0.141184701663055
growth_t,1973,0.101119895231852,0.0289556396034225,0.0554314960013337,0.136923766046039
growth_t,1974,0.0844827686726595,0.0411576594321081,0.0161440197261859,0.129009490310021
growth_t,1975,0.0648723878666357,0.0562197714502587,-0.0328341656287168,0.123011927022596
growth_t,1976,0.0888031305384234,0.0368691554747691,0.0285594183689114,0.13280969796335
growth_t,1977,0.0985712677003335,0.0303425625096323,0.0491243585560301,0.136552121529228
growth_t,1978,0.112439380623521,0.0199203044030022,0.0827304891102375,0.14323847098578
growth_t,1979,0.0504339671235069,0.0607945975961635,-0.058262930511134,0.115291471151213
growth_t,1980,-0.00526543665452919,0.102009581626278,-0.195612426341787,0.0979501849572298
growth_t,1981,0.0110974802816105,0.0862905961784569,-0.132537768036209,0.102449222463974
growth_t,1982,-0.0719756428365967,0.121701422787417,-0.292012369090677,0.0709536386894901
growth_t,1983,-0.103062404732062,0.134432588246134,-0.342999268105095,0.0596893565776146
growth_t,1984,-0.126264614822871,0.159381906470844,-0.41599992964296,0.0523031746069024
growth_t,1985,-0.0133496898268335,0.0921084074595156,-0.175550646651943,0.0903499765890162
growth_t,1986,-0.0135364576495823,0.0891426737877297,-0.177188008055518,0.0886701867418651
growth_t,1987,-0.183526401073189,0.206046246985133,-0.568851947910733,0.0433667600364354
growth_t,1988,0.073330256259511,0.0453649150849761,-0.00484699894351549,0.126075956042177
growth_t,1989,0.0648177734130243,0.0526414645235474,-0.0325437523850788,0.123267258213495
growth_t,1990,0.068425766077209,0.0491094956399839,-0.0188581708010481,0.122742211394936
growth_t,1991,0.086785109914689,0.0365972496327935,0.0224530072526627,0.131221676527278
