variable,year,mean,sd,lower,upper
b_t,1951,170292.612657218,14889.4034119228,147178.34030749,190701.308116999
b_t,1952,365227.574080825,44196.4404264222,298692.764714678,427386.489632058
b_t,1953,187098.265712804,37292.7395777003,134354.49317051,256715.651369248
b_t,1954,198236.937467285,24148.1725239596,166019.854255887,246633.321358716
b_t,1955,165179.402179581,30859.1433931376,122384.720434858,219645.427948425
b_t,1956,152527.878229466,30166.5432756162,110379.62897501,198776.075135948
b_t,1957,161795.82205834,36806.1871557215,108398.580816215,210040.850718114
b_t,1958,225197.388224665,26203.8638745142,186181.089175526,272011.720346259
b_t,1959,68662.0826315974,6234.37945814709,58002.8835866653,77910.1335662122
b_t,1960,161771.791428934,20478.2722819664,125724.195826043,194663.573096975
b_t,1961,196361.345461006,50897.4131151451,127630.498863909,279372.636667056
b_t,1962,233519.848529081,25391.3410580775,198243.867806348,276182.94795698
b_t,1963,78893.5360199279,7519.60015914227,67181.3486179901,92084.9408355968
b_t,1964,90062.6213715519,23637.5253462853,62334.5230981835,141536.886599685
b_t,1965,154647.111825508,54618.3234742702,85380.0777900648,286509.492654248
b_t,1966,83314.5165255141,14391.3420897929,62260.1887587941,107819.819961379
b_t,1967,87176.632927437,13820.9485290088,66852.7850128989,110757.361754954
b_t,1968,99066.364937129,14741.531614625,76686.5157265144,124205.325776246
b_t,1969,113484.029464463,41245.6288168345,67714.3005536526,186143.34952053
b_t,1970,176181.208221334,35682.779697472,125492.040886439,236074.579682434
b_t,1971,220752.88792849,50701.9108047208,163434.820015513,315517.681588243
b_t,1972,152090.085172416,11379.3317664457,132347.99876085,167973.60990524
b_t,1973,91020.0577290491,9015.41902689252,77327.0044936117,104370.097282518
b_t,1974,46481.9266994082,11375.1898654957,31301.0921404177,65543.4271080731
b_t,1975,27012.7590586277,5958.99522919205,18111.2299433154,37218.6689875534
b_t,1976,13675.0757596825,2708.74106263322,9799.31034120934,18780.9603865103
b_t,1977,14279.8640439983,2478.47164483775,10937.5124929344,18417.2558678839
b_t,1978,6489.15908822609,1036.22001579124,5067.68163715596,8055.55957382881
b_t,1979,2645.56698246037,522.404837295079,2017.15749945093,3569.35561688693
b_t,1980,4158.16212525292,1221.24907856829,2628.92134515769,6322.13542629382
b_t,1981,2352.99920035031,763.330311034475,1579.05062349941,3730.37583062973
b_t,1982,1579.22420635691,607.305677242637,848.651290322646,2628.64964593011
b_t,1983,1753.98026930952,371.944834050295,1236.09063275621,2353.59446390853
b_t,1984,7941.65687721489,1417.99426422131,5820.98074495916,10535.1961421514
b_t,1985,7228.62599448095,1391.90855100791,5038.81595197539,9648.33249350816
b_t,1986,4062.66956314881,1020.28951784692,2616.11007629347,6005.06259355063
b_t,1987,7268.58999352009,1947.8804379825,4265.84998618202,10494.6236882327
b_t,1988,14284.2412526021,3453.06512103809,9038.75951235288,20280.9598085218
b_t,1989,8932.53882650602,894.574154766074,7767.04700961492,10571.3212928699
b_t,1990,5354.28956688579,657.260023401314,4533.60558584086,6569.82593854103
b_t,1991,6080.71052760794,936.091942504954,4960.94476746869,7813.3957245873
b_t,1992,9128.64698213434,1585.80045124509,7123.0161702833,12025.3007433338
b_t,1993,8484.64851943216,1947.40369360225,5919.34633163974,11992.3866236406
b_t,1994,16557.4158089569,3974.53111424545,11074.8607404511,23601.8840769895
b_t,1995,6308.48977598565,1551.13190204598,4210.14920985853,9053.08312024639
b_t,1996,5144.67394208855,944.334612570549,3748.12725927693,6677.91070536153
b_t,1997,3370.30318647721,715.537387999822,2427.82245914366,4678.82186050739
b_t,1998,2542.00438300186,297.691917532379,2107.6745102993,3108.57346783457
b_t,1999,1327.25433252099,356.641728334422,874.94660355831,1968.23561795012
b_t,2000,1302.8469555967,193.209736745348,1012.82650515247,1616.34522489506
b_t,2001,1547.49414025919,271.412397704156,1139.57523782466,1997.78880194722
b_t,2002,1160.60533175385,193.924627365709,900.553502080607,1523.485825204
b_t,2003,1876.93302163702,401.542043862902,1314.38326990257,2623.77090801166
b_t,2004,1794.71794782942,315.961242603456,1335.80490597227,2272.85818756412
b_t,2005,3663.97480393312,632.82009357722,2548.39254878186,4495.14862200172
b_t,2006,2399.28810359833,501.325627492338,1597.12207842142,3060.73457812503
b_t,2007,1223.88027098861,203.657353434959,912.23308136315,1540.72523505253
b_t,2008,730.105156283304,95.8566213307348,581.616915941441,891.911577619059
b_t,2009,772.035396969251,117.168264064103,570.947264333751,950.272589048163
b_t,2010,1088.77673608351,178.11799928528,797.411339636703,1376.13575925774
b_t,2011,717.363640737952,129.619683072151,513.057897822373,925.068479440191
b_t,2012,296.769022260348,54.0540003967805,221.108100268748,393.410543657352
b_t,2013,119.83078626346,27.3143362554994,88.4772967059664,175.026763662908
b_t,2014,128.056823839524,33.7088414089242,90.1539600841733,195.573146684386
b_t,2015,212.682203844757,48.1704611221848,146.174541236991,299.970857580179
b_t,2016,1201.76315563296,245.1197961457,861.864677169265,1622.10406985917
b_t,2017,7115.59229546066,1605.80377460695,4731.35588848528,9736.85379783371
b_t,2018,14035.2618391784,3775.56372936862,8423.13679379593,20225.2943830651
b_t,2019,59104.1195912324,14635.0511263897,38028.4627884785,83573.1577057886
bmsy,1951,83308.1424930537,7067.75652263013,72263.9097784894,93082.0064289525
ck,1951,0.0181398659258261,0.00159039183556145,0.0161148232166587,0.0207572494356338
ck,1952,0.0211631769134638,0.00185545714148835,0.0188006270861018,0.0242167910082395
ck,1953,0.0181398659258261,0.00159039183556145,0.0161148232166587,0.0207572494356338
ck,1954,0.0120932439505508,0.00106026122370763,0.0107432154777725,0.0138381662904226
ck,1955,0.0120932439505508,0.00106026122370763,0.0107432154777725,0.0138381662904226
ck,1956,0.00604662197527538,0.000530130611853816,0.00537160773888623,0.00691908314521128
ck,1957,0.00906993296291307,0.000795195917780723,0.00805741160832934,0.0103786247178169
ck,1958,0.00906993296291307,0.000795195917780723,0.00805741160832934,0.0103786247178169
ck,1959,0.00906993296291307,0.000795195917780723,0.00805741160832934,0.0103786247178169
ck,1960,0.0102792573579681,0.000901222040151486,0.00913173315610659,0.0117624413468592
ck,1961,0.0120932439505508,0.00106026122370763,0.0107432154777725,0.0138381662904226
ck,1962,0.0133025683456058,0.00116628734607839,0.0118175370255497,0.0152219829194648
ck,1963,0.0096745951604406,0.000848208978966105,0.00859457238221796,0.011070533032338
ck,1964,0.00846527076538553,0.000742182856595342,0.00752025083444072,0.00968671640329579
ck,1965,0.0163258793332435,0.0014313526520053,0.0145033408949928,0.0186815244920704
ck,1966,0.0229771635060464,0.0020144963250445,0.0204121094077677,0.0262925159518029
ck,1967,0.0139072305431334,0.00121930040726378,0.0123546977994383,0.0159138912339859
ck,1968,0.0199538525184087,0.00174943101911759,0.0177263055383246,0.0228329743791972
ck,1969,0.0223725013085189,0.00196148326385912,0.019874948633879,0.0256006076372817
ck,1970,0.0247911500986291,0.00217353550860064,0.0220235917294335,0.0283682408953662
ck,1971,0.0175352037282986,0.00153737877437607,0.0155776624427701,0.0200653411211127
ck,1972,0.0126979061480783,0.00111327428489301,0.0112803762516611,0.0145300746049437
ck,1973,0.00544195977774784,0.000477117550668434,0.0048344469649976,0.00622717483069015
ck,1974,0.00362192656318995,0.000317548236500436,0.00321759303559285,0.00414453080398155
ck,1975,0.00460147932318456,0.000403429395620754,0.00408779348929242,0.00526542227350578
ck,1976,0.000864666942464379,7.58086774950956e-05,0.00076813990666073,0.000989428889765213
ck,1977,0.00226748324072827,0.000198798979445181,0.00201435290208234,0.00259465617945423
ck,1978,0.00195305889801395,0.000171232187628782,0.00173502929966025,0.00223486385590324
ck,1979,0.000659081795305016,5.77842366920659e-05,0.000585505243538599,0.000754180062828029
ck,1980,0.000320470964689595,2.80969224282522e-05,0.00028469521016097,0.000366711406696198
ck,1981,0.000338610830615421,2.96873142638137e-05,0.000300810033377629,0.000387468656131832
ck,1982,0.000217678391109914,1.90847020267374e-05,0.000193377878599904,0.000249086993227606
ck,1983,0.000169305415307711,1.48436571319068e-05,0.000150405016688814,0.000193734328065916
ck,1984,0.000913039918266582,8.00497223899261e-05,0.00081111276857182,0.0010447815549269
ck,1985,0.000961412894068785,8.42907672847567e-05,0.00085408563048291,0.00110013422008859
ck,1986,0.00135444332246168,0.000118749257055255,0.00120324013351051,0.00154987462452733
ck,1987,0.00172933388492876,0.000151617354990191,0.00153627981332146,0.00197885777953043
ck,1988,0.00181398659258261,0.000159039183556145,0.00161148232166587,0.00207572494356338
ck,1989,0.00151770211579412,0.000133062783575308,0.00134827354246044,0.00173668986944803
ck,1990,0.00192887241011285,0.000169111665181367,0.00171354286870471,0.0022071875233224
ck,1991,0.00193491903208812,0.000169641795793221,0.00171891447644359,0.00221410660646761
ck,1992,0.00224329675282717,0.000196678456997766,0.00199286647112679,0.00256697984687338
ck,1993,0.00223725013085189,0.000196148326385912,0.0019874948633879,0.00256006076372817
ck,1994,0.00223725013085189,0.000196148326385912,0.0019874948633879,0.00256006076372817
ck,1995,0.00241864879011015,0.000212052244741526,0.00214864309555449,0.00276763325808451
ck,1996,0.00241864879011015,0.000212052244741526,0.00214864309555449,0.00276763325808451
ck,1997,0.00181398659258261,0.000159039183556145,0.00161148232166587,0.00207572494356338
ck,1998,0.00120932439505508,0.000106026122370763,0.00107432154777725,0.00138381662904226
ck,1999,0.000532102733824233,4.66514938431358e-05,0.000472701481021988,0.000608879316778592
ck,2000,0.000725594637033045,6.36156734224579e-05,0.000644592928666347,0.000830289977425353
ck,2001,0.000931179784192408,8.16401142254876e-05,0.000827227591788479,0.00106553880436254
ck,2002,0.000973506138019336,8.53510285084643e-05,0.000864828845960683,0.00111397238637902
ck,2003,0.000665128417280292,5.83143673039197e-05,0.000590876851277485,0.00076109914597324
ck,2004,0.000592568953576987,5.19527999616739e-05,0.00052641755841085,0.000678070148230705
ck,2005,0.000665128417280292,5.83143673039197e-05,0.000590876851277485,0.00076109914597324
ck,2006,0.00250934811973928,0.000220004203919333,0.00222921721163778,0.00287141950526268
ck,2007,0.000423263538269276,3.71091428297671e-05,0.000376012541722036,0.000484335820164789
ck,2008,0.000380937184442349,3.33982285467904e-05,0.000338411287549832,0.00043590223814831
ck,2009,0.000465589892096204,4.08200571127438e-05,0.000413613795894239,0.000532769402181268
ck,2010,0.000350704074565972,3.07475754875213e-05,0.000311553248855401,0.000401306822422254
ck,2011,0.000320470964689595,2.80969224282522e-05,0.00028469521016097,0.000366711406696198
ck,2012,0.000284191232837943,2.49161387571293e-05,0.000252465563727653,0.00032519690782493
ck,2013,0.000102792573579681,9.01222040151487e-06,9.13173315610659e-05,0.000117624413468592
ck,2014,3.62797318516523e-05,3.18078367112289e-06,3.22296464333174e-05,4.15144988712677e-05
ck,2015,1.81398659258261e-05,1.59039183556145e-06,1.61148232166587e-05,2.07572494356338e-05
ck,2016,3.62797318516523e-05,3.18078367112289e-06,3.22296464333174e-05,4.15144988712677e-05
ck,2017,1.81398659258261e-05,1.59039183556145e-06,1.61148232166587e-05,2.07572494356338e-05
ck,2018,9.06993296291307e-05,7.95195917780723e-06,8.05741160832934e-05,0.000103786247178169
ck,2019,4.34147457824772e-05,3.8063377931104e-06,3.85681435652031e-05,4.9679016982617e-05
crashed,1951,0,0,0,0
delta,1951,100,0,100,100
dep_t,1951,1.02184163722878,0.00454419515379702,1.01368956568949,1.02948840104383
dep_t,1952,2.18617010099231,0.106566527157954,2.03798722146931,2.36661909556712
dep_t,1953,1.12463204460865,0.207567092912062,0.789681627982813,1.5015879879605
dep_t,1954,1.19032007788892,0.10371854403057,0.988823950264787,1.35154705256983
dep_t,1955,0.984582583593598,0.11803842060923,0.815291775896597,1.18820987457864
dep_t,1956,0.908441154866808,0.121183482659621,0.728862888607747,1.13247189278491
dep_t,1957,0.9603555057702,0.152530108356738,0.710014519082737,1.15905273115572
dep_t,1958,1.36045100238123,0.193553916696873,1.13466191177792,1.72005623355735
dep_t,1959,0.413615036951516,0.0392692410857131,0.372135116718741,0.499172190614277
dep_t,1960,0.969145737602113,0.0717604291700257,0.85863411758676,1.07776865359624
dep_t,1961,1.16761731455748,0.237706886323364,0.850630633183866,1.53910740127291
dep_t,1962,1.40266840978545,0.107695021797479,1.21175978539993,1.58587002774366
dep_t,1963,0.474287565754527,0.0324239309781066,0.411551174569425,0.512787818044282
dep_t,1964,0.537820966340404,0.116552963042991,0.379646113383936,0.776436808600257
dep_t,1965,0.926542433185328,0.296084277990343,0.507238229583991,1.5899238780847
dep_t,1966,0.500515914601809,0.0790173272463276,0.391169512819204,0.633017861327887
dep_t,1967,0.523234135578159,0.0702137126562537,0.417042285778625,0.627918963775672
dep_t,1968,0.59382837666359,0.0659744379977575,0.49085304305156,0.700388431723795
dep_t,1969,0.702990487324224,0.31036083090929,0.391288170793917,1.24015476549896
dep_t,1970,1.07781183351145,0.293137743805572,0.722876607818578,1.57265875332687
dep_t,1971,1.31596586829043,0.227907952171873,1.07528116941542,1.77823201309421
dep_t,1972,0.917937313495723,0.087714315975391,0.756418055088608,1.0577297892801
dep_t,1973,0.547095239968928,0.0393813953044836,0.473372063366769,0.596905694565451
dep_t,1974,0.277267531008681,0.0549000792846195,0.195387340966379,0.366769069922307
dep_t,1975,0.163509447288666,0.0380806941243245,0.105121148719942,0.219857258947474
dep_t,1976,0.0819725916171002,0.0140442012232664,0.0623531337997555,0.108432115241644
dep_t,1977,0.0858999138788164,0.0138002506921178,0.0634280597397705,0.108177126632233
dep_t,1978,0.0390586420176718,0.0058477585211628,0.0293593727593437,0.0476626131885467
dep_t,1979,0.0158834527097874,0.00272456833695953,0.011199126644163,0.0204030692475323
dep_t,1980,0.024788481159845,0.00631094306059446,0.0173503766838684,0.0371335429093143
dep_t,1981,0.0140557345949264,0.00408524319573991,0.00920542764550993,0.0222139458681622
dep_t,1982,0.00946306878035059,0.00337849391339087,0.00476573618567699,0.015145571364555
dep_t,1983,0.010495334448263,0.00184379857429272,0.00798706948163189,0.0133530785334673
dep_t,1984,0.0477574563923655,0.00801348937116122,0.0372116541215523,0.0624669620064615
dep_t,1985,0.0435713768140099,0.00872393662449338,0.0327048992629444,0.0587395705178498
dep_t,1986,0.0243778540160149,0.00562556677841375,0.0166516935224487,0.0337111778519653
dep_t,1987,0.0434828988728433,0.0105275320037375,0.02853627635421,0.0614056237452764
dep_t,1988,0.0855111301936138,0.0181795996054322,0.0572330667775103,0.113323164619975
dep_t,1989,0.0540892865010259,0.00787431334723214,0.0450496887321829,0.0684801866752698
dep_t,1990,0.0324574004698226,0.00550783349887778,0.0261502671010277,0.0432580781523971
dep_t,1991,0.0368771621862709,0.00724839913198949,0.0285868639269009,0.0511080246422351
