variable,year,mean,sd,lower,upper
b_t,1951,590266.536630037,177987.545405702,373155.151246646,868462.66610289
b_t,1952,818923.540295895,248842.697099988,522976.13940454,1254321.98752542
b_t,1953,762022.770629805,295384.646355437,390454.869740536,1214247.21604204
b_t,1954,554670.050615613,185117.390153597,312525.141301959,839885.141928788
b_t,1955,541720.374156389,174543.388264127,320659.196021638,838070.383687128
b_t,1956,481575.943375854,149473.778275663,324195.85509395,758190.373207548
b_t,1957,484659.930237184,163727.801200039,292957.002805125,779123.110790511
b_t,1958,479451.592312814,164426.481329237,297343.045321803,773601.279828446
b_t,1959,346355.07928555,119264.304417821,160785.630532623,550672.055756923
b_t,1960,249072.301301928,89102.7372216386,131218.287327293,397035.132208098
b_t,1961,237513.723827829,76437.0067017388,157218.712555244,372397.566520432
b_t,1962,211713.711515003,62612.7762335283,141023.059238155,319919.125626992
b_t,1963,206910.791898353,66520.7624260608,131250.37796405,328350.966298014
b_t,1964,273559.665845746,80719.7719166499,187406.708910479,418028.704037853
b_t,1965,309953.978183821,91835.0907861768,182477.564259717,470325.898179265
b_t,1966,258645.835192112,82059.7936271697,165560.729812193,401975.820384519
b_t,1967,214455.66151651,72862.7683282988,127614.405233183,342968.969213488
b_t,1968,208499.742963851,65668.1623285791,135292.709972585,321436.304261982
b_t,1969,221056.285276327,69775.2753993748,132232.004739429,344010.29086039
b_t,1970,263568.657181792,81257.7164376168,137091.370368538,404729.18233043
b_t,1971,269355.753169014,88441.2891668078,163054.146494047,430979.711325097
b_t,1972,296895.867629843,96287.1628660761,198118.14231457,474739.0203107
b_t,1973,482257.803170893,142193.57569951,320351.440503147,739904.235845937
b_t,1974,423803.658693284,142487.868309466,265278.354420144,682033.713832469
b_t,1975,410216.307605685,121977.835085499,269591.315266545,631956.805638682
b_t,1976,543581.199147932,169599.903728285,358337.661869125,866656.150771493
b_t,1977,359664.870138594,117324.707839643,221379.964188529,572981.611489913
b_t,1978,356096.271102782,124745.04014991,228895.92992881,583601.794806131
b_t,1979,343947.411332101,114995.857524019,205671.416100612,543645.177105728
b_t,1980,322958.795928919,112544.213036714,169818.32372624,513712.630859263
b_t,1981,388868.012901814,122204.934993779,257442.220628338,591395.964493321
b_t,1982,369987.654202424,102067.431102213,247050.931578048,554644.375105496
b_t,1983,376461.461953765,112613.992938243,250740.579190672,579426.163875211
b_t,1984,353016.637754509,116802.826211798,207828.821991236,562796.234064742
b_t,1985,320179.914574216,104070.700792778,213467.765191675,506125.737083749
b_t,1986,258199.953670673,86766.1012402085,173323.287985826,406046.281682876
b_t,1987,254980.77908153,86426.6190062115,140861.462508276,403275.740255462
b_t,1988,181429.643271296,59942.5554826989,109027.532390096,283361.06108288
b_t,1989,158284.290592633,50431.4565198123,98136.8383946903,247915.338564329
b_t,1990,169527.896732829,51592.948718947,111093.638604571,258840.017704668
b_t,1991,147832.299315864,45027.1694820069,100795.142764696,228884.544278417
b_t,1992,162971.059559208,52452.6121300683,99801.3208102585,255716.140451623
b_t,1993,161141.998899834,48676.0116798912,92434.1408825078,246729.843959503
b_t,1994,195509.124113677,57073.9313050326,133032.858476931,295000.830700984
b_t,1995,207933.655137683,64180.918088538,130646.108313254,317209.138618337
b_t,1996,183721.502698291,59737.6360628304,102053.995778001,280508.848311046
b_t,1997,178763.662956954,52824.0427215351,115120.183823987,271873.358289057
b_t,1998,176030.163780758,50440.5858412796,119989.144745864,262058.747654239
b_t,1999,177646.180953209,55885.6384581079,112961.56489917,274845.537087288
b_t,2000,157438.831872318,47849.3040934857,105849.414127667,239744.909630917
b_t,2001,139924.902523103,39894.101397598,97951.6005436855,213057.794836727
b_t,2002,146255.267580994,40132.5142805966,99078.7410160161,217337.560329216
b_t,2003,134310.853699859,39630.6946783196,89020.9325179567,198224.339857758
b_t,2004,125002.099749232,34380.0337969165,82930.6467010411,187721.842569939
b_t,2005,135552.101624911,37027.6966478519,89531.9925689651,201671.933105185
b_t,2006,163281.615323959,51480.3806642144,110143.36847838,254047.062249523
b_t,2007,193213.870522936,56778.7420672006,123368.734046691,287573.81966125
b_t,2008,195119.538445158,55268.9501712758,130958.603475587,290957.376125686
b_t,2009,194672.076961645,57315.555340335,126803.522093865,301759.095231635
b_t,2010,180600.452915145,53819.567275693,116077.973653145,276952.48001483
b_t,2011,195018.492626886,57472.7391496123,116717.454316375,296191.855674177
b_t,2012,216398.633591557,61347.651202543,125399.766857951,314516.280572095
b_t,2013,241083.410688309,62966.5994970758,162699.709075755,351045.388268363
b_t,2014,286145.348642424,80682.5872877543,193960.972029013,424959.195253168
b_t,2015,308068.602449815,87373.9413093226,214340.465632902,459894.208581933
b_t,2016,321802.278529388,102494.145618532,208991.551413175,487627.243254789
b_t,2017,308079.040992268,106611.530489885,195704.571999059,501200.025390173
b_t,2018,282663.293742274,106642.52777654,161657.746956293,479185.836679816
b_t,2019,269367.427916052,94438.2522194149,149919.11599897,429944.538468501
bmsy,1951,312668.406415466,85928.250504781,216669.591338895,445203.180559439
ck,1951,0.0434734972731835,0.0110394217944814,0.0285263042818617,0.0586146019031785
ck,1952,0.043644652774259,0.0110828840850109,0.0286386125664359,0.0588453680524036
ck,1953,0.043302341772108,0.010995959503952,0.0284139959972874,0.0583838357539534
ck,1954,0.0231059926451959,0.00586740922147636,0.0151616184175249,0.0311534301453901
ck,1955,0.0255021696602533,0.00647588128888872,0.0167339344015645,0.0343841562345417
ck,1956,0.0193405716215344,0.00491123882982836,0.0126908361568912,0.0260765748624377
ck,1957,0.0297810571871414,0.00756243855212508,0.019541641515921,0.0401533099651695
ck,1958,0.0323483897032743,0.0082143729100669,0.0212262657845349,0.0436148022035462
ck,1959,0.0248175476559512,0.0063020321267709,0.0162847012632675,0.0334610916376413
ck,1960,0.0140347510881931,0.00356390782341527,0.0092092793350892,0.0189228242364592
ck,1961,0.0159174616000239,0.00404199301923927,0.010444670465406,0.0214612518779354
ck,1962,0.0167732391054015,0.00425930447188654,0.0110062118882773,0.022615082624061
ck,1963,0.013692440086042,0.00347698324235636,0.00898466276594068,0.018461291938009
ck,1964,0.0268714136688575,0.00682357961312436,0.0176324006781586,0.0362302854283426
ck,1965,0.0330330117075764,0.00838822207218472,0.0216754989228319,0.0445378668004466
ck,1966,0.0272137246710086,0.00691050419418326,0.0178570172473071,0.0366918177267928
ck,1967,0.0255021696602533,0.00647588128888872,0.0167339344015645,0.0343841562345417
ck,1968,0.0275560356731596,0.00699742877524217,0.0180816338164556,0.0371533500252431
ck,1969,0.0301233681892925,0.00764936313318399,0.0197662580850695,0.0406148422636197
ck,1970,0.0249887031570267,0.00634549441730036,0.0163970095478417,0.0336918577868664
ck,1971,0.0277271911742351,0.00704089106577163,0.0181939421010299,0.0373841161744682
ck,1972,0.0243040811527246,0.00617164525518254,0.0159477764095447,0.0327687931899659
ck,1973,0.0698314444388144,0.0177326145360174,0.0458217801062975,0.0941525888838458
ck,1974,0.052525911725068,0.0133381423405843,0.0344662894529942,0.0708198235356947
ck,1975,0.0373204570095183,0.00947695244994755,0.0244888214514171,0.0503185588385357
ck,1976,0.0769583595035993,0.0195423843136639,0.0504982970759696,0.103761691337579
ck,1977,0.0286907966452903,0.00728558376145246,0.018826237743183,0.0386833295946055
ck,1978,0.0651588992594526,0.0165460940045633,0.0427557639374202,0.0878526730100002
ck,1979,0.0574671710411185,0.0145928986681696,0.037708629628653,0.0774820422638237
ck,1980,0.0419348093185145,0.0106486958026216,0.0275166528035391,0.0565400142216447
ck,1981,0.0642911408689997,0.016325740191579,0.0421863609346287,0.0866826886334289
ck,1982,0.0476633839395123,0.0121033786666425,0.0312756110882395,0.0642637572362092
ck,1983,0.0652290730148935,0.0165639135436804,0.0428018103340957,0.0879472871311825
ck,1984,0.0610956676639196,0.0155142992273941,0.0400895652616273,0.082374284627396
ck,1985,0.0674677869689614,0.0171324003038057,0.044270802696327,0.090965708363047
ck,1986,0.0578847904637427,0.0146989466570615,0.0379826618430142,0.0780451116679329
ck,1987,0.0530770324385312,0.0134780909160891,0.0348279221293233,0.0715628905361995
ck,1988,0.0435761905738288,0.0110654991687991,0.0285936892526062,0.0587530615927136
ck,1989,0.0272257055560838,0.00691354655452033,0.0178648788272273,0.0367079713572386
ck,1990,0.0393109954870267,0.00998241888880511,0.0257949668010157,0.0530023691540238
ck,1991,0.0332093018736842,0.00843298823143005,0.0217911764559434,0.0447755559341485
ck,1992,0.0361514649371725,0.00918010500563138,0.0237217558677749,0.0487424260393282
ck,1993,0.0316055748286065,0.00802574656916907,0.0207388478294826,0.0426132771159092
ck,1994,0.051526363598787,0.0130843225638923,0.0338104090710805,0.06947214922422
ck,1995,0.0619908109345446,0.0157416070068631,0.0406769375899507,0.0835811915878434
ck,1996,0.0482983708485025,0.0122646237645068,0.03169227482401,0.0651198996498344
ck,1997,0.0539156943938013,0.0136910561396835,0.0353782327237372,0.0726936446674026
ck,1998,0.0561920625581058,0.0142691046037252,0.0368719329085748,0.0757628344520966
ck,1999,0.0731227647244968,0.0185683943828988,0.0479814684186605,0.0985902219334447
ck,2000,0.065959907004486,0.0167494975242412,0.0432813667092277,0.0889326585883737
ck,2001,0.0503436790863551,0.0127839981363337,0.0330343588246724,0.0678775551330745
ck,2002,0.056414564709504,0.0143256055814135,0.0370179336785213,0.0760628304460892
ck,2003,0.0568304725771175,0.0144312189474001,0.0372908428100368,0.0766235921887062
ck,2004,0.0469376846149521,0.0119190985547976,0.0307994239616447,0.0632853087634948
ck,2005,0.0632933042977293,0.0160723550377923,0.0415316036355608,0.0853373219834465
ck,2006,0.0680907929928763,0.0172906030413329,0.0446796048521773,0.0918056971462264
ck,2007,0.0847117037023206,0.0215112260746482,0.0555858623671835,0.114215397897477
ck,2008,0.0804516432805508,0.0204294496633701,0.0527905091641302,0.108471628443264
ck,2009,0.0870188798568187,0.0220970977509853,0.0570997780432445,0.117326125589032
ck,2010,0.0671408799619072,0.0170493873288944,0.0440562938727901,0.090524945018027
ck,2011,0.0807169343072178,0.0204968162136907,0.0529645870052203,0.108829315974563
ck,2012,0.0918779845323529,0.0233309921791165,0.0602882102423077,0.123877576565532
